Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,7.15,7.41,7.11,7.39,28034.0,0.0,1.0,7.15,7.41,7.11,7.39,28034.0
2020-01-03,7.33,7.36,7.12,7.15,19372.0,0.0,1.0,7.33,7.36,7.12,7.15,19372.0
2020-01-06,7.22,7.45,7.07,7.36,77623.0,0.0,1.0,7.22,7.45,7.07,7.36,77623.0
2020-01-07,7.41,7.48,7.33,7.33,28891.0,0.0,1.0,7.41,7.48,7.33,7.33,28891.0
2020-01-08,7.39,7.69,7.32,7.5,76808.0,0.0,1.0,7.39,7.69,7.32,7.5,76808.0
2020-01-09,7.48,7.64,7.415,7.51,32781.0,0.0,1.0,7.48,7.64,7.415,7.51,32781.0
2020-01-10,7.52,7.52,7.16,7.2,32991.0,0.0,1.0,7.52,7.52,7.16,7.2,32991.0
2020-01-13,7.17,7.38,7.17,7.37,16102.0,0.0,1.0,7.17,7.38,7.17,7.37,16102.0
2020-01-14,7.36,7.445,7.25,7.36,23536.0,0.0,1.0,7.36,7.445,7.25,7.36,23536.0
2020-01-15,7.14,7.24,7.1,7.23,40148.0,0.0,1.0,7.14,7.24,7.1,7.23,40148.0
2020-01-16,7.35,7.47,7.23,7.38,28477.0,0.0,1.0,7.35,7.47,7.23,7.38,28477.0
2020-01-17,7.47,7.48,7.22,7.25,27136.0,0.0,1.0,7.47,7.48,7.22,7.25,27136.0
2020-01-21,7.26,7.26,7.085,7.15,44457.0,0.0,1.0,7.26,7.26,7.085,7.15,44457.0
2020-01-22,7.14,7.21,7.02,7.19,26554.0,0.0,1.0,7.14,7.21,7.02,7.19,26554.0
2020-01-23,7.14,7.235,7.04,7.16,46085.0,0.0,1.0,7.14,7.235,7.04,7.16,46085.0
2020-01-24,7.21,7.21,7.05,7.14,32371.0,0.0,1.0,7.21,7.21,7.05,7.14,32371.0
2020-01-27,7.07,7.17,7.06,7.06,27073.0,0.0,1.0,7.07,7.17,7.06,7.06,27073.0
2020-01-28,7.12,7.12,6.9602,7.04,27871.0,0.0,1.0,7.12,7.12,6.9602,7.04,27871.0
2020-01-29,7.04,7.25,6.99,7.02,18185.0,0.0,1.0,7.04,7.25,6.99,7.02,18185.0
2020-01-30,6.95,7.22,6.94,7.2,87163.0,0.0,1.0,6.95,7.22,6.94,7.2,87163.0
2020-01-31,7.2,7.2,6.72,6.77,61341.0,0.0,1.0,7.2,7.2,6.72,6.77,61341.0
2020-02-03,6.9,7.085,6.78,6.8,33804.0,0.0,1.0,6.9,7.085,6.78,6.8,33804.0
2020-02-04,6.93,7.05,6.86,6.98,25938.0,0.0,1.0,6.93,7.05,6.86,6.98,25938.0
2020-02-05,7.07,7.07,6.86,6.92,14871.0,0.0,1.0,7.07,7.07,6.86,6.92,14871.0
2020-02-06,6.92,6.92,6.73,6.75,27366.0,0.0,1.0,6.92,6.92,6.73,6.75,27366.0
2020-02-07,6.69,6.75,6.55,6.65,35203.0,0.0,1.0,6.69,6.75,6.55,6.65,35203.0
2020-02-10,6.58,6.66,6.43,6.53,31770.0,0.0,1.0,6.58,6.66,6.43,6.53,31770.0
