Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,8.72,8.77,8.67,8.72,302044.0,0.0,1.0,8.281021188691621,8.328504108351549,8.233538269031692,8.281021188691621,302044.0
2020-01-03,8.63,8.77,8.59,8.765,389812.0,0.0,1.0,8.195551933303749,8.328504108351549,8.157565597575806,8.323755816385557,389812.0
2020-01-06,8.71,8.71,8.6,8.63,183908.0,0.0,1.0,8.271524604759636,8.271524604759636,8.167062181507792,8.195551933303749,183908.0
2020-01-07,8.61,8.61,8.43,8.46,246795.0,0.0,1.0,8.176558765439776,8.176558765439776,8.005620254664032,8.03411000645999,246795.0
2020-01-08,8.46,8.54,8.45,8.49,445157.0,0.0,1.0,8.03411000645999,8.110082677915875,8.024613422528004,8.062599758255947,445157.0
2020-01-09,8.57,8.57,8.47,8.5,144163.0,0.0,1.0,8.138572429711834,8.138572429711834,8.043606590391976,8.072096342187933,144163.0
2020-01-10,8.49,8.52,8.39,8.43,209598.0,0.0,1.0,8.062599758255947,8.091089510051905,7.96763391893609,8.005620254664032,209598.0
2020-01-13,8.42,8.48,8.39,8.47,191957.0,0.0,1.0,7.996123670732047,8.053103174323962,7.96763391893609,8.043606590391976,191957.0
2020-01-14,8.46,8.46,8.39,8.43,338664.0,0.0,1.0,8.03411000645999,8.03411000645999,7.96763391893609,8.005620254664032,338664.0
2020-01-15,8.42,8.42,8.29,8.34,259882.0,0.0,1.0,7.996123670732047,7.996123670732047,7.87266807961623,7.92015099927616,259882.0
2020-01-16,8.39,8.505,8.36,8.44,260455.0,0.0,1.0,7.96763391893609,8.076844634153927,7.939144167140132,8.015116838596018,260455.0
2020-01-17,8.53,8.53,8.39,8.41,293463.0,0.0,1.0,8.10058609398389,8.10058609398389,7.96763391893609,7.986627086800061,293463.0
2020-01-21,8.38,8.4387,8.29,8.3,237360.0,0.0,1.0,7.958137335004104,8.013882282684861,7.87266807961623,7.882164663548218,237360.0
2020-01-22,8.3,8.3,8.02,8.13,320778.0,0.0,1.0,7.882164663548218,7.882164663548218,7.616260313452614,7.7207227367044595,320778.0
2020-01-23,8.16,8.23,8.05,8.22,422241.0,0.0,1.0,7.749212488500416,7.815688576024317,7.644750065248573,7.806191992092331,422241.0
2020-01-24,8.21,8.21,8.0458,8.11,261592.0,0.0,1.0,7.796695408160345,7.796695408160345,7.640761499997137,7.701729568840486,261592.0
2020-01-27,8.04,8.16,8.03,8.13,313202.0,0.0,1.0,7.635253481316585,7.749212488500416,7.6257568973845995,7.7207227367044595,313202.0
2020-01-28,8.22,8.22,8.09,8.1,263893.0,0.0,1.0,7.806191992092331,7.806191992092331,7.682736400976515,7.6922329849085,263893.0
2020-01-29,8.08,8.11,7.98,8.005,390788.0,0.0,1.0,7.6732398170445295,7.701729568840486,7.578273977724672,7.602015437554637,390788.0
2020-01-30,7.98,8.08,7.96,8.04,340011.0,0.0,1.0,7.578273977724672,7.6732398170445295,7.5592808098607,7.635253481316585,340011.0
2020-01-31,7.97,8.025,7.9,7.93,341423.0,0.0,1.0,7.568777393792685,7.6210086054186075,7.5023013062687856,7.530791058064742,341423.0
2020-02-03,7.96,7.98,7.9,7.97,356240.0,0.0,1.0,7.5592808098607,7.578273977724672,7.5023013062687856,7.568777393792685,356240.0
2020-02-04,8.0,8.05,7.96,7.97,218948.0,0.0,1.0,7.597267145588643,7.644750065248573,7.5592808098607,7.568777393792685,218948.0
2020-02-05,8.03,8.13,8.02,8.12,276618.0,0.0,1.0,7.6257568973845995,7.7207227367044595,7.616260313452614,7.711226152772472,276618.0
2020-02-06,8.16,8.19,8.01,8.01,145076.0,0.0,1.0,7.749212488500416,7.777702240296373,7.606763729520629,7.606763729520629,145076.0
2020-02-07,7.99,8.03,7.95,7.97,164343.0,0.0,1.0,7.587770561656657,7.6257568973845995,7.549784225928714,7.568777393792685,164343.0
2020-02-10,7.95,7.96,7.91,7.925,214384.0,0.0,1.0,7.549784225928714,7.5592808098607,7.5117978902007705,7.526042766098749,214384.0
2020-02-11,7.92,8.03,7.92,7.95,172072.0,0.0,1.0,7.521294474132756,7.6257568973845995,7.521294474132756,7.549784225928714,172072.0
2020-02-12,8.0,8.01,7.945,7.97,160883.0,0.0,1.0,7.597267145588643,7.606763729520629,7.545035933962721,7.568777393792685,160883.0
2020-02-13,7.95,8.02,7.95,7.97,187963.0,0.0,1.0,7.549784225928714,7.616260313452614,7.549784225928714,7.568777393792685,187963.0
2020-02-14,7.98,8.01,7.87,7.89,318718.0,0.0,1.0,7.578273977724672,7.606763729520629,7.473811554472827,7.492804722336799,318718.0
2020-02-18,7.83,7.91,7.82,7.85,202495.0,0.0,1.0,7.435825218744884,7.5117978902007705,7.426328634812899,7.4548183866088555,202495.0
2020-02-19,7.87,7.89,7.8,7.85,250318.0,0.0,1.0,7.473811554472827,7.492804722336799,7.407335466948926,7.4548183866088555,250318.0
2020-02-20,7.85,7.89,7.8,7.84,334434.0,0.0,1.0,7.4548183866088555,7.492804722336799,7.407335466948926,7.44532180267687,334434.0
2020-02-21,7.83,7.86,7.76,7.77,599426.0,0.0,1.0,7.435825218744884,7.464314970540842,7.369349131220983,7.378845715152969,599426.0
2020-02-24,7.7,7.77,7.6,7.67,294864.0,0.0,1.0,7.312369627629069,7.378845715152969,7.217403788309211,7.283879875833112,294864.0
2020-02-25,7.65,7.65,7.43,7.44,416999.0,0.0,1.0,7.26488670796914,7.26488670796914,7.055961861465452,7.0654584453974385,416999.0
2020-02-26,7.45,7.55,7.41,7.42,287662.0,0.0,1.0,7.074955029329423,7.169920868649282,7.036968693601481,7.046465277533466,287662.0
2020-02-27,7.35,7.44,7.11,7.11,507289.0,0.0,1.0,6.979989190009565,7.0654584453974385,6.752071175641906,6.752071175641906,507289.0
2020-02-28,7.0,7.11,6.8,6.86,847817.0,0.0,1.0,6.647608752390062,6.752071175641906,6.457677073750347,6.514656577342262,847817.0
2020-03-02,6.84,7.31,6.84,7.3,748249.0,0.0,1.0,6.49566340947829,6.942002854281622,6.49566340947829,6.932506270349636,748249.0
2020-03-03,7.25,7.48,7.08,7.17,839240.0,0.0,1.0,6.885023350689708,7.103444781125382,6.723581423845949,6.809050679233821,839240.0
2020-03-04,7.23,7.37,7.07,7.36,374438.0,0.0,1.0,6.866030182825736,6.998982357873538,6.714084839913964,6.989485773941552,374438.0
2020-03-05,7.14,7.17,7.03,7.15,631461.0,0.068125,1.0,6.8451659222884516,6.873927123642605,6.73970818398989,6.854752989406503,631461.0
2020-03-06,6.94,7.11,6.82,7.01,671249.0,0.0,1.0,6.653424579927431,6.816404720934298,6.538379774510818,6.7205340497537875,671249.0
2020-03-09,6.71,6.9399,6.48,6.53,749626.0,0.0,1.0,6.432922036212256,6.653328709256249,6.212419492497083,6.260354828087338,749626.0
2020-03-10,6.69,6.69,6.28,6.6,1135647.0,0.0,1.0,6.413747901976154,6.413747901976154,6.020678150136061,6.327464297913695,1135647.0
2020-03-11,6.41,6.52,6.075,6.12,761569.0,0.0,1.0,6.145310022670725,6.2507677609692855,5.824143274216015,5.867285076247244,761569.0
2020-03-12,5.8,5.91,5.01,5.08,874080.0,0.0,1.0,5.5604989284696105,5.665956666768172,4.803120626143577,4.8702300959699345,874080.0
2020-03-13,5.33,5.86,5.1,5.85,635215.0,0.0,1.0,5.109906773921211,5.618021331177917,4.889404230206036,5.6084342640598654,635215.0
2020-03-16,5.4,5.52,5.05,5.06,609844.0,0.0,1.0,5.177016243747569,5.292061049164181,4.841468894615781,4.851055961733832,609844.0
2020-03-17,5.16,5.9,5.04,5.88,781297.0,0.0,1.0,4.9469266329143435,5.656369599650121,4.831881827497731,5.637195465414019,781297.0
2020-03-18,5.57,5.63,4.87,4.88,684489.0,0.0,1.0,5.3399963847544365,5.397518787462743,4.668901686490862,4.678488753608914,684489.0
2020-03-19,4.9,5.17,4.7,4.88,596579.0,0.0,1.0,4.697662887845016,4.956513700032394,4.505921545483995,4.678488753608914,596579.0
2020-03-20,4.88,5.25,4.61,4.66,981000.0,0.0,1.0,4.678488753608914,5.033210236976802,4.419637941421535,4.46757327701179,981000.0
2020-03-23,4.68,4.74,4.3,4.52,842286.0,0.0,1.0,4.486747411247892,4.544269813956199,4.122438860761952,4.333354337359076,842286.0
2020-03-24,4.8,5.08,4.725,5.06,632612.0,0.0,1.0,4.601792216664505,4.8702300959699345,4.529889213279122,4.851055961733832,632612.0
2020-03-25,5.08,5.235,4.87,4.95,700343.0,0.0,1.0,4.8702300959699345,5.018829636299726,4.668901686490862,4.745598223435271,700343.0
2020-03-26,5.03,5.53,4.94,5.48,464984.0,0.0,1.0,4.8222947603796795,5.301648116282232,4.73601115631722,5.253712780691977,464984.0
2020-03-27,5.25,5.52,5.0,5.31,417359.0,0.0,1.0,5.033210236976802,5.292061049164181,4.793533559025526,5.0907326396851085,417359.0
2020-03-30,5.36,5.64,5.1701,5.62,511225.0,0.0,1.0,5.138667975275364,5.407105854580793,4.956609570703574,5.3879317203446915,511225.0
2020-03-31,5.57,5.63,5.27,5.41,609749.0,0.0,1.0,5.3399963847544365,5.397518787462743,5.052384371212904,5.186603310865619,609749.0
2020-04-01,5.31,5.44,5.12,5.27,609049.0,0.0,1.0,5.0907326396851085,5.215364512219773,4.908578364442139,5.052384371212904,609049.0
2020-04-02,5.24,5.43,5.11,5.32,549128.0,0.0,1.0,5.023623169858752,5.205777445101721,4.898991297324089,5.10031970680316,549128.0
2020-04-03,5.26,5.34,4.7501,4.92,582829.0,0.0,1.0,5.0427973040948535,5.119493841039262,4.55395275174543,4.716837022081117,582829.0
2020-04-06,5.18,5.31,5.05,5.29,401863.0,0.0,1.0,4.966100767150445,5.0907326396851085,4.841468894615781,5.071558505449007,401863.0
2020-04-07,5.45,5.52,5.025,5.12,498851.0,0.0,1.0,5.224951579337824,5.292061049164181,4.817501226820654,4.908578364442139,498851.0
2020-04-08,5.21,5.485,5.14,5.47,523652.0,0.0,1.0,4.9948619685045985,5.258506314251003,4.927752498678241,5.244125713573926,523652.0
2020-04-09,5.63,5.86,5.43,5.86,493350.0,0.0,1.0,5.397518787462743,5.618021331177917,5.205777445101721,5.618021331177917,493350.0
2020-04-13,5.84,5.84,5.52,5.56,267678.0,0.0,1.0,5.598847196941814,5.598847196941814,5.292061049164181,5.330409317636385,267678.0
2020-04-14,5.66,5.8,5.31,5.41,365491.0,0.0,1.0,5.426279988816896,5.5604989284696105,5.0907326396851085,5.186603310865619,365491.0
2020-04-15,5.18,5.18,4.98,5.03,376717.0,0.0,1.0,4.966100767150445,4.966100767150445,4.7743594247894245,4.8222947603796795,376717.0
2020-04-16,5.02,5.06,4.8,5.01,601437.0,0.0,1.0,4.812707693261628,4.851055961733832,4.601792216664505,4.803120626143577,601437.0
2020-04-17,5.21,5.48,5.17,5.37,410105.0,0.0,1.0,4.9948619685045985,5.253712780691977,4.956513700032394,5.148255042393416,410105.0
2020-04-20,5.2,5.32,5.06,5.21,320859.0,0.0,1.0,4.985274901386547,5.10031970680316,4.851055961733832,4.9948619685045985,320859.0
2020-04-21,5.05,5.39,4.99,5.35,416233.0,0.0,1.0,4.841468894615781,5.167429176629517,4.783946491907475,5.129080908157313,416233.0
2020-04-22,5.58,5.87,5.03,5.16,626694.0,0.0,1.0,5.349583451872487,5.627608398295968,4.8222947603796795,4.9469266329143435,626694.0
2020-04-23,5.55,5.8999,5.41,5.51,952691.0,0.0,1.0,5.320822250518334,5.65627372897894,5.186603310865619,5.282473982046129,952691.0
2020-04-24,5.51,5.69,5.41,5.49,571879.0,0.0,1.0,5.282473982046129,5.455041190171049,5.186603310865619,5.263299847810028,571879.0
2020-04-27,5.65,6.0,5.59,5.85,604756.0,0.0,1.0,5.416692921698845,5.752240270830631,5.359170518990538,5.6084342640598654,604756.0
2020-04-28,6.0,6.17,5.95,6.045,520380.0,0.0,1.0,5.752240270830631,5.915220411837499,5.704304935240376,5.7953820728618615,520380.0
2020-04-29,6.22,6.64,6.17,6.46,536242.0,0.0,1.0,5.963155747427755,6.365812566385898,5.915220411837499,6.19324535826098,536242.0
2020-04-30,6.46,6.46,6.13,6.3,685938.0,0.0,1.0,6.19324535826098,6.19324535826098,5.876872143365295,6.039852284372163,685938.0
2020-05-01,6.15,6.24,6.0,6.18,555080.0,0.0,1.0,5.896046277601398,5.982329881663857,5.752240270830631,5.92480747895555,555080.0
2020-05-04,6.05,6.09,5.79,5.91,419632.0,0.0,1.0,5.800175606420886,5.838523874893091,5.550911861351559,5.665956666768172,419632.0
2020-05-05,6.2403,6.2403,5.91,5.96,952707.0,0.0,1.0,5.982617493677399,5.982617493677399,5.665956666768172,5.713892002358428,952707.0
2020-05-06,6.1,6.1,5.65,5.835,865498.0,0.0,1.0,5.848110942011142,5.848110942011142,5.416692921698845,5.594053663382789,865498.0
2020-05-07,5.91,5.95,5.66,5.67,557152.0,0.0,1.0,5.665956666768172,5.704304935240376,5.426279988816896,5.4358670559349465,557152.0
2020-05-08,5.78,5.995,5.76,5.97,357747.0,0.0,1.0,5.541324794233509,5.7474467372716065,5.522150659997406,5.723479069476478,357747.0
2020-05-11,5.84,5.93,5.62,5.705,675901.0,0.0,1.0,5.598847196941814,5.685130801004274,5.3879317203446915,5.469421790848125,675901.0
2020-05-12,5.69,5.72,5.31,5.34,832833.0,0.0,1.0,5.455041190171049,5.483802391525201,5.0907326396851085,5.119493841039262,832833.0
2020-05-13,5.31,5.43,5.06,5.17,582136.0,0.0,1.0,5.0907326396851085,5.205777445101721,4.851055961733832,4.956513700032394,582136.0
2020-05-14,5.06,5.2186,4.79,5.16,1056113.0,0.0,1.0,4.851055961733832,5.003106846226123,4.592205149546454,4.9469266329143435,1056113.0
2020-05-15,5.13,5.5,5.09,5.43,3565550.0,0.0,1.0,4.9181654315601895,5.272886914928079,4.879817163087986,5.205777445101721,3565550.0
2020-05-18,5.7,5.84,5.5201,5.745,966983.0,0.0,1.0,5.4646282572891005,5.598847196941814,5.292156919835362,5.50777005932033,966983.0
2020-05-19,5.71,5.94,5.6484,5.9,868321.0,0.0,1.0,5.474215324407151,5.694717868122326,5.415158990959956,5.656369599650121,868321.0
2020-05-20,5.99,6.25,5.91,6.04,741311.0,0.0,1.0,5.742653203712581,5.991916948781908,5.665956666768172,5.790588539302836,741311.0
2020-05-21,6.03,6.17,5.985,6.02,461153.0,0.0,1.0,5.781001472184785,5.915220411837499,5.737859670153555,5.771414405066733,461153.0
2020-05-22,6.07,6.08,5.89,6.01,355523.0,0.0,1.0,5.819349740656989,5.82893680777504,5.64678253253207,5.761827337948683,355523.0
2020-05-26,6.2,6.365,6.15,6.26,477640.0,0.0,1.0,5.943981613191653,6.102168220639495,5.896046277601398,6.001504015899958,477640.0
2020-05-27,6.45,6.95,6.41,6.9,659948.0,0.0,1.0,6.183658291142929,6.663011647045481,6.145310022670725,6.615076311455226,659948.0
2020-05-28,6.98,6.98,6.62,6.68,874376.0,0.0,1.0,6.691772848399635,6.691772848399635,6.346638432149797,6.404160834858103,874376.0
2020-05-29,6.57,6.595,6.23,6.3,564680.0,0.0,1.0,6.298703096559541,6.322670764354669,5.972742814545806,6.039852284372163,564680.0
2020-06-01,6.31,6.49,6.23,6.24,466096.0,0.0,1.0,6.049439351490213,6.222006559615133,5.972742814545806,5.982329881663857,466096.0
2020-06-02,6.32,6.3899,6.165,6.22,382476.0,0.0,1.0,6.059026418608266,6.126040017763442,5.910426878278474,5.963155747427755,382476.0
2020-06-03,6.3,6.68,6.28,6.54,418535.0,0.0,1.0,6.039852284372163,6.404160834858103,6.020678150136061,6.269941895205388,418535.0
2020-06-04,6.44,6.712,6.42,6.645,557787.0,0.068125,1.0,6.237368229613546,6.500809869125174,6.217997520825926,6.435917994686648,557787.0
2020-06-05,6.95,7.1001,6.85,7.005,555307.0,0.0,1.0,6.7313213036978485,6.8766984731489345,6.63446775975975,6.784590752863803,555307.0
2020-06-08,7.04,7.25,7.01,7.225,561617.0,0.0,1.0,6.818489493242137,7.021881935512144,6.789433430060708,6.997668549527619,561617.0
2020-06-09,7.02,7.14,6.79,6.96,387939.0,0.0,1.0,6.799118784454517,6.915343037180236,6.576355633396891,6.741006658091658,387939.0
2020-06-10,6.96,6.97,6.62,6.63,343988.0,0.0,1.0,6.741006658091658,6.750692012485468,6.411704608702124,6.421389963095933,343988.0
2020-06-11,6.34,6.44,6.02,6.07,548930.0,0.0,1.0,6.140514685675448,6.237368229613546,5.830583345073531,5.879010117042582,548930.0
2020-06-12,6.26,6.36,6.02,6.22,472290.0,0.0,1.0,6.063031850524968,6.159885394463068,5.830583345073531,6.024290432949729,472290.0
2020-06-15,5.99,6.31,5.96,6.24,384779.0,0.0,1.0,5.801527281892103,6.111458622494018,5.772471218710673,6.043661141737349,384779.0
2020-06-16,6.48,6.525,6.28,6.405,487065.0,0.0,1.0,6.276109647188786,6.31969374196093,6.082402559312588,6.203469489235212,487065.0
2020-06-17,6.41,6.44,6.11,6.14,263559.0,0.0,1.0,6.208312166432116,6.237368229613546,5.917751534617821,5.94680759779925,263559.0
2020-06-18,6.17,6.28,6.09,6.155,245912.0,0.0,1.0,5.97586366098068,6.082402559312588,5.898380825830201,5.961335629389965,245912.0
2020-06-19,6.21,6.26,5.98,6.06,871870.0,0.0,1.0,6.0146050785559195,6.063031850524968,5.791841927498293,5.8693247626487715,871870.0
2020-06-22,6.0,6.15,5.94,6.13,259746.0,0.0,1.0,5.811212636285912,5.95649295219306,5.753100509923054,5.93712224340544,259746.0
2020-06-23,6.26,6.26,6.03,6.07,361231.0,0.0,1.0,6.063031850524968,6.063031850524968,5.840268699467342,5.879010117042582,361231.0
2020-06-24,5.95,5.99,5.82,5.915,591404.0,0.0,1.0,5.7627858643168635,5.801527281892103,5.636876257197335,5.728887123938529,591404.0
2020-06-25,5.85,6.05,5.75,6.045,565989.0,0.0,1.0,5.665932320378764,5.859639408254962,5.569078776440666,5.854796731058057,565989.0
2020-06-26,5.93,6.01,5.75,5.9,932098.0,0.0,1.0,5.743415155529243,5.820897990679722,5.569078776440666,5.714359092347814,932098.0
2020-06-29,6.0,6.21,6.0,6.21,380388.0,0.0,1.0,5.811212636285912,6.0146050785559195,5.811212636285912,6.0146050785559195,380388.0
2020-06-30,6.17,6.37,6.16,6.33,407992.0,0.0,1.0,5.97586366098068,6.169570748856877,5.96617830658687,6.130829331281638,407992.0
2020-07-01,6.4,6.42,6.05,6.075,590678.0,0.0,1.0,6.198626812038307,6.217997520825926,5.859639408254962,5.883852794239487,590678.0
2020-07-02,6.2,6.34,6.02,6.04,272526.0,0.0,1.0,6.00491972416211,6.140514685675448,5.830583345073531,5.849954053861152,272526.0
2020-07-06,6.2,6.24,6.01,6.07,195986.0,0.0,1.0,6.00491972416211,6.043661141737349,5.820897990679722,5.879010117042582,195986.0
2020-07-07,5.99,6.04,5.9,5.95,417104.0,0.0,1.0,5.801527281892103,5.849954053861152,5.714359092347814,5.7627858643168635,417104.0
2020-07-08,5.95,6.0242,5.85,5.96,507090.0,0.0,1.0,5.7627858643168635,5.8346511939189325,5.665932320378764,5.772471218710673,507090.0
2020-07-09,5.93,5.93,5.7,5.75,485512.0,0.0,1.0,5.743415155529243,5.743415155529243,5.520652004471617,5.569078776440666,485512.0
2020-07-10,5.77,5.95,5.75,5.93,497950.0,0.0,1.0,5.588449485228286,5.7627858643168635,5.569078776440666,5.743415155529243,497950.0
2020-07-13,5.98,6.05,5.86,5.965,379274.0,0.0,1.0,5.791841927498293,5.859639408254962,5.675617674772575,5.777313895907578,379274.0
2020-07-14,5.94,6.03,5.85,5.96,435496.0,0.0,1.0,5.753100509923054,5.840268699467342,5.665932320378764,5.772471218710673,435496.0
2020-07-15,5.96,6.27,5.92,6.215,503299.0,0.0,1.0,5.772471218710673,6.072717204918778,5.733729801135434,6.019447755752824,503299.0
2020-07-16,6.2,6.29,6.12,6.225,299995.0,0.0,1.0,6.00491972416211,6.092087913706398,5.927436889011631,6.029133110146634,299995.0
2020-07-17,6.22,6.24,6.11,6.125,332537.0,0.0,1.0,6.024290432949729,6.043661141737349,5.917751534617821,5.9322795662085355,332537.0
