Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,2.23,2.2509,2.1,2.19,230678.0,0.0,1.0,2.23,2.2509,2.1,2.19,230678.0
2020-01-03,2.24,2.27,2.12,2.12,250551.0,0.0,1.0,2.24,2.27,2.12,2.12,250551.0
2020-01-06,2.17,2.37,2.08,2.35,683561.0,0.0,1.0,2.17,2.37,2.08,2.35,683561.0
2020-01-07,2.42,2.69,2.31,2.66,774446.0,0.0,1.0,2.42,2.69,2.31,2.66,774446.0
2020-01-08,2.66,2.7,2.14,2.15,887309.0,0.0,1.0,2.66,2.7,2.14,2.15,887309.0
2020-01-09,2.17,2.19,1.89,1.9,656008.0,0.0,1.0,2.17,2.19,1.89,1.9,656008.0
2020-01-10,1.91,1.91,1.75,1.8,414064.0,0.0,1.0,1.91,1.91,1.75,1.8,414064.0
2020-01-13,1.8,1.85,1.67,1.7,360512.0,0.0,1.0,1.8,1.85,1.67,1.7,360512.0
2020-01-14,1.7,1.83,1.66,1.78,354763.0,0.0,1.0,1.7,1.83,1.66,1.78,354763.0
2020-01-15,1.76,1.78,1.66,1.67,483132.0,0.0,1.0,1.76,1.78,1.66,1.67,483132.0
2020-01-16,1.68,1.845,1.68,1.78,362230.0,0.0,1.0,1.68,1.845,1.68,1.78,362230.0
2020-01-17,1.79,1.83,1.75,1.75,188493.0,0.0,1.0,1.79,1.83,1.75,1.75,188493.0
2020-01-21,1.73,1.7465,1.58,1.59,489085.0,0.0,1.0,1.73,1.7465,1.58,1.59,489085.0
2020-01-22,1.59,1.61,1.52,1.6,168754.0,0.0,1.0,1.59,1.61,1.52,1.6,168754.0
2020-01-23,1.58,1.604,1.5248,1.56,171809.0,0.0,1.0,1.58,1.604,1.5248,1.56,171809.0
2020-01-24,1.53,1.53,1.42,1.46,294317.0,0.0,1.0,1.53,1.53,1.42,1.46,294317.0
2020-01-27,1.44,1.45,1.38,1.4,388505.0,0.0,1.0,1.44,1.45,1.38,1.4,388505.0
2020-01-28,1.43,1.43,1.37,1.4,217990.0,0.0,1.0,1.43,1.43,1.37,1.4,217990.0
2020-01-29,1.42,1.47,1.39,1.39,94211.0,0.0,1.0,1.42,1.47,1.39,1.39,94211.0
2020-01-30,1.38,1.48,1.31,1.46,253028.0,0.0,1.0,1.38,1.48,1.31,1.46,253028.0
2020-01-31,1.44,1.45,1.36,1.42,223831.0,0.0,1.0,1.44,1.45,1.36,1.42,223831.0
2020-02-03,1.41,1.42,1.3,1.34,261825.0,0.0,1.0,1.41,1.42,1.3,1.34,261825.0
2020-02-04,1.41,1.41,1.31,1.36,162997.0,0.0,1.0,1.41,1.41,1.31,1.36,162997.0
2020-02-05,1.4,1.59,1.4,1.51,286735.0,0.0,1.0,1.4,1.59,1.4,1.51,286735.0
2020-02-06,1.56,1.56,1.44,1.45,136818.0,0.0,1.0,1.56,1.56,1.44,1.45,136818.0
2020-02-07,1.44,1.46,1.36,1.41,136083.0,0.0,1.0,1.44,1.46,1.36,1.41,136083.0
2020-02-10,1.41,1.41,1.32,1.34,144601.0,0.0,1.0,1.41,1.41,1.32,1.34,144601.0
2020-02-11,1.39,1.39,1.34,1.37,134893.0,0.0,1.0,1.39,1.39,1.34,1.37,134893.0
2020-02-12,1.39,1.48,1.38,1.47,94682.0,0.0,1.0,1.39,1.48,1.38,1.47,94682.0
2020-02-13,1.49,1.54,1.42,1.43,115092.0,0.0,1.0,1.49,1.54,1.42,1.43,115092.0
2020-02-14,1.45,1.49,1.38,1.38,139110.0,0.0,1.0,1.45,1.49,1.38,1.38,139110.0
2020-02-18,1.38,1.4,1.35,1.37,141214.0,0.0,1.0,1.38,1.4,1.35,1.37,141214.0
2020-02-19,1.4,1.47,1.38,1.44,114289.0,0.0,1.0,1.4,1.47,1.38,1.44,114289.0
2020-02-20,1.45,1.53,1.43,1.51,140158.0,0.0,1.0,1.45,1.53,1.43,1.51,140158.0
2020-02-21,1.54,1.67,1.46,1.64,295197.0,0.0,1.0,1.54,1.67,1.46,1.64,295197.0
2020-02-24,1.55,1.64,1.39,1.45,256478.0,0.0,1.0,1.55,1.64,1.39,1.45,256478.0
2020-02-25,1.43,1.52,1.3511,1.38,179103.0,0.0,1.0,1.43,1.52,1.3511,1.38,179103.0
2020-02-26,1.4,1.415,1.29,1.31,353342.0,0.0,1.0,1.4,1.415,1.29,1.31,353342.0
2020-02-27,1.32,1.35,1.04,1.27,611462.0,0.0,1.0,1.32,1.35,1.04,1.27,611462.0
2020-02-28,1.19,1.24,1.03,1.09,630230.0,0.0,1.0,1.19,1.24,1.03,1.09,630230.0
2020-03-02,1.13,1.14,0.98,1.01,452174.0,0.0,1.0,1.13,1.14,0.98,1.01,452174.0
2020-03-03,1.02,1.03,0.8721,0.9311,549494.0,0.0,1.0,1.02,1.03,0.8721,0.9311,549494.0
2020-03-04,0.94,0.94,0.87,0.8801,265578.0,0.0,1.0,0.94,0.94,0.87,0.8801,265578.0
2020-03-05,0.8702,0.88,0.79,0.84,352578.0,0.0,1.0,0.8702,0.88,0.79,0.84,352578.0
2020-03-06,0.84,0.84,0.7201,0.7403,215158.0,0.0,1.0,0.84,0.84,0.7201,0.7403,215158.0
2020-03-09,0.65,0.7,0.56,0.5914,321157.0,0.0,1.0,0.65,0.7,0.56,0.5914,321157.0
2020-03-10,0.6176,0.88,0.6176,0.8412,421250.0,0.0,1.0,0.6176,0.88,0.6176,0.8412,421250.0
2020-03-11,0.85,0.8699,0.7501,0.84,252575.0,0.0,1.0,0.85,0.8699,0.7501,0.84,252575.0
2020-03-12,0.75,0.8826,0.71,0.7382,424640.0,0.0,1.0,0.75,0.8826,0.71,0.7382,424640.0
2020-03-13,0.7751,0.8699,0.661,0.7,253220.0,0.0,1.0,0.7751,0.8699,0.661,0.7,253220.0
2020-03-16,0.69,0.7999,0.6301,0.76,208988.0,0.0,1.0,0.69,0.7999,0.6301,0.76,208988.0
2020-03-17,0.8,0.8299,0.7599,0.8,314526.0,0.0,1.0,0.8,0.8299,0.7599,0.8,314526.0
2020-03-18,0.7398,0.8,0.661,0.7201,335342.0,0.0,1.0,0.7398,0.8,0.661,0.7201,335342.0
2020-03-19,0.71,0.7995,0.64,0.65,469257.0,0.0,1.0,0.71,0.7995,0.64,0.65,469257.0
2020-03-20,0.6825,1.16,0.6825,1.16,522336.0,0.0,1.0,0.6825,1.16,0.6825,1.16,522336.0
2020-03-23,0.97,0.97,0.8001,0.8705,154387.0,0.0,1.0,0.97,0.97,0.8001,0.8705,154387.0
2020-03-24,0.914,0.928,0.8036,0.9042,156434.0,0.0,1.0,0.914,0.928,0.8036,0.9042,156434.0
2020-03-25,0.9021,0.909,0.850101,0.89,143052.0,0.0,1.0,0.9021,0.909,0.850101,0.89,143052.0
2020-03-26,0.909,0.909,0.804,0.8433,143185.0,0.0,1.0,0.909,0.909,0.804,0.8433,143185.0
2020-03-27,0.84,0.8499,0.806,0.8299,101651.0,0.0,1.0,0.84,0.8499,0.806,0.8299,101651.0
2020-03-30,0.799,0.8019,0.7,0.7389,268079.0,0.0,1.0,0.799,0.8019,0.7,0.7389,268079.0
2020-03-31,0.75,0.75,0.74,0.7488,85585.0,0.0,1.0,0.75,0.75,0.74,0.7488,85585.0
2020-04-01,0.7357,0.75,0.65,0.6709,120208.0,0.0,1.0,0.7357,0.75,0.65,0.6709,120208.0
2020-04-02,0.6855,0.7108,0.6825,0.69,140572.0,0.0,1.0,0.6855,0.7108,0.6825,0.69,140572.0
2020-04-03,0.7103,0.7389,0.6,0.6097,525624.0,0.0,1.0,0.7103,0.7389,0.6,0.6097,525624.0
2020-04-06,0.63,0.7385,0.6142,0.6237,167415.0,0.0,1.0,0.63,0.7385,0.6142,0.6237,167415.0
2020-04-07,0.67,0.72,0.56,0.58,381061.0,0.0,1.0,0.67,0.72,0.56,0.58,381061.0
2020-04-08,0.6129,0.63,0.58,0.6,201053.0,0.0,1.0,0.6129,0.63,0.58,0.6,201053.0
2020-04-09,0.62,0.68,0.5982,0.6605,535931.0,0.0,1.0,0.62,0.68,0.5982,0.6605,535931.0
2020-04-13,0.7,0.715,0.6619,0.69,398747.0,0.0,1.0,0.7,0.715,0.6619,0.69,398747.0
2020-04-14,0.7,0.706,0.65,0.67,233769.0,0.0,1.0,0.7,0.706,0.65,0.67,233769.0
2020-04-15,0.7,0.7,0.6001,0.6231,232143.0,0.0,1.0,0.7,0.7,0.6001,0.6231,232143.0
2020-04-16,0.6572,0.668118,0.6,0.6,228956.0,0.0,1.0,0.6572,0.668118,0.6,0.6,228956.0
2020-04-17,0.6266,0.65,0.6,0.6287,220834.0,0.0,1.0,0.6266,0.65,0.6,0.6287,220834.0
2020-04-20,0.64,0.65,0.57,0.6,206587.0,0.0,1.0,0.64,0.65,0.57,0.6,206587.0
2020-04-21,0.6036,0.6236,0.58,0.6128,172583.0,0.0,1.0,0.6036,0.6236,0.58,0.6128,172583.0
2020-04-22,0.6229,0.74,0.585,0.73,521811.0,0.0,1.0,0.6229,0.74,0.585,0.73,521811.0
2020-04-23,0.72,0.85,0.70001,0.75,358917.0,0.0,1.0,0.72,0.85,0.70001,0.75,358917.0
2020-04-24,0.8295,0.8299,0.75,0.81,324945.0,0.0,1.0,0.8295,0.8299,0.75,0.81,324945.0
2020-04-27,0.85,0.86,0.7,0.7703,264512.0,0.0,1.0,0.85,0.86,0.7,0.7703,264512.0
2020-04-28,0.81,0.85,0.77,0.7942,100669.0,0.0,1.0,0.81,0.85,0.77,0.7942,100669.0
2020-04-29,0.7999,0.85,0.75,0.84,271510.0,0.0,1.0,0.7999,0.85,0.75,0.84,271510.0
2020-04-30,0.8796,0.89,0.78,0.84,471040.0,0.0,1.0,0.8796,0.89,0.78,0.84,471040.0
2020-05-01,0.82,0.87,0.7701,0.8,200779.0,0.0,1.0,0.82,0.87,0.7701,0.8,200779.0
2020-05-04,0.85,0.85,0.79,0.85,115508.0,0.0,1.0,0.85,0.85,0.79,0.85,115508.0
2020-05-05,0.89,0.89,0.81,0.8554,82139.0,0.0,1.0,0.89,0.89,0.81,0.8554,82139.0
2020-05-06,0.89,0.8942,0.81,0.85,189107.0,0.0,1.0,0.89,0.8942,0.81,0.85,189107.0
2020-05-07,0.855,1.24,0.82,1.15,1557408.0,0.0,1.0,0.855,1.24,0.82,1.15,1557408.0
2020-05-08,1.07,1.13,1.02,1.1,251768.0,0.0,1.0,1.07,1.13,1.02,1.1,251768.0
2020-05-11,1.08,1.3,1.0501,1.29,311458.0,0.0,1.0,1.08,1.3,1.0501,1.29,311458.0
2020-05-12,1.34,1.34,1.09,1.16,362834.0,0.0,1.0,1.34,1.34,1.09,1.16,362834.0
2020-05-13,1.14,1.16,1.08,1.1,201756.0,0.0,1.0,1.14,1.16,1.08,1.1,201756.0
2020-05-14,1.08,1.2451,1.02,1.1,241248.0,0.0,1.0,1.08,1.2451,1.02,1.1,241248.0
2020-05-15,1.08,1.12,1.0,1.02,273763.0,0.0,1.0,1.08,1.12,1.0,1.02,273763.0
2020-05-18,1.08,1.21,1.07,1.2,343824.0,0.0,1.0,1.08,1.21,1.07,1.2,343824.0
2020-05-19,1.21,1.3,1.16,1.27,269966.0,0.0,1.0,1.21,1.3,1.16,1.27,269966.0
2020-05-20,1.32,1.43,1.3198,1.38,254365.0,0.0,1.0,1.32,1.43,1.3198,1.38,254365.0
2020-05-21,1.49,1.6287,1.38,1.6,347321.0,0.0,1.0,1.49,1.6287,1.38,1.6,347321.0
2020-05-22,1.65,1.6758,1.28,1.37,639958.0,0.0,1.0,1.65,1.6758,1.28,1.37,639958.0
2020-05-26,1.46,1.46,1.29,1.32,385171.0,0.0,1.0,1.46,1.46,1.29,1.32,385171.0
2020-05-27,1.35,1.37,1.18,1.3,300215.0,0.0,1.0,1.35,1.37,1.18,1.3,300215.0
2020-05-28,1.27,1.46,1.25,1.32,357939.0,0.0,1.0,1.27,1.46,1.25,1.32,357939.0
2020-05-29,1.32,1.3999,1.2,1.26,167856.0,0.0,1.0,1.32,1.3999,1.2,1.26,167856.0
2020-06-01,1.26,1.3,1.18,1.22,171928.0,0.0,1.0,1.26,1.3,1.18,1.22,171928.0
2020-06-02,1.25,1.26,1.17,1.19,206812.0,0.0,1.0,1.25,1.26,1.17,1.19,206812.0
2020-06-03,1.17,1.25,1.17,1.24,152635.0,0.0,1.0,1.17,1.25,1.17,1.24,152635.0
2020-06-04,1.2,1.24,1.18,1.22,244708.0,0.0,1.0,1.2,1.24,1.18,1.22,244708.0
2020-06-05,1.34,1.59,1.33,1.51,784976.0,0.0,1.0,1.34,1.59,1.33,1.51,784976.0
2020-06-08,1.65,2.4,1.58,2.16,1392078.0,0.0,1.0,1.65,2.4,1.58,2.16,1392078.0
2020-06-09,1.8835,2.58,1.775,2.55,1035875.0,0.0,1.0,1.8835,2.58,1.775,2.55,1035875.0
2020-06-10,2.41,2.5,2.03,2.325,707838.0,0.0,1.0,2.41,2.5,2.03,2.325,707838.0
2020-06-11,1.97,2.13,1.7101,1.76,647289.0,0.0,1.0,1.97,2.13,1.7101,1.76,647289.0
2020-06-12,1.9,2.06,1.855,1.97,251981.0,0.0,1.0,1.9,2.06,1.855,1.97,251981.0
2020-06-15,1.9,1.9773,1.76,1.93,301447.0,0.0,1.0,1.9,1.9773,1.76,1.93,301447.0
2020-06-16,2.03,2.15,1.95,1.99,271248.0,0.0,1.0,2.03,2.15,1.95,1.99,271248.0
2020-06-17,1.99,1.99,1.77,1.8,148144.0,0.0,1.0,1.99,1.99,1.77,1.8,148144.0
2020-06-18,1.78,1.85,1.705,1.76,105935.0,0.0,1.0,1.78,1.85,1.705,1.76,105935.0
2020-06-19,1.78,1.8,1.5,1.57,407591.0,0.0,1.0,1.78,1.8,1.5,1.57,407591.0
2020-06-22,1.59,1.6125,1.45,1.53,202623.0,0.0,1.0,1.59,1.6125,1.45,1.53,202623.0
2020-06-23,1.54,1.5752,1.38,1.44,222936.0,0.0,1.0,1.54,1.5752,1.38,1.44,222936.0
2020-06-24,1.42,1.42,1.2701,1.3,199235.0,0.0,1.0,1.42,1.42,1.2701,1.3,199235.0
2020-06-25,1.32,1.3792,1.22,1.27,289629.0,0.0,1.0,1.32,1.3792,1.22,1.27,289629.0
2020-06-26,1.27,1.3,1.19,1.25,1371723.0,0.0,1.0,1.27,1.3,1.19,1.25,1371723.0
2020-06-29,1.15,1.26,1.15,1.23,181394.0,0.0,1.0,1.15,1.26,1.15,1.23,181394.0
2020-06-30,1.23,1.27,1.16,1.18,129626.0,0.0,1.0,1.23,1.27,1.16,1.18,129626.0
2020-07-01,1.2,1.232,1.17,1.19,88495.0,0.0,1.0,1.2,1.232,1.17,1.19,88495.0
