Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,2.42,2.45,2.32,2.44,4112989.0,0.0,1.0,2.42,2.45,2.32,2.44,4112989.0
2020-01-03,2.42,2.45,2.3,2.31,2801741.0,0.0,1.0,2.42,2.45,2.3,2.31,2801741.0
2020-01-06,2.34,2.37,2.25,2.34,2720957.0,0.0,1.0,2.34,2.37,2.25,2.34,2720957.0
2020-01-07,2.34,2.38,2.26,2.26,2298342.0,0.0,1.0,2.34,2.38,2.26,2.26,2298342.0
2020-01-08,2.32,2.34,2.24,2.31,4127761.0,0.0,1.0,2.32,2.34,2.24,2.31,4127761.0
2020-01-09,2.33,2.33,2.24,2.3,2006579.0,0.0,1.0,2.33,2.33,2.24,2.3,2006579.0
2020-01-10,2.28,2.37,2.25,2.34,1668323.0,0.0,1.0,2.28,2.37,2.25,2.34,1668323.0
2020-01-13,2.33,2.37,2.25,2.37,2043867.0,0.0,1.0,2.33,2.37,2.25,2.37,2043867.0
2020-01-14,2.37,2.47,2.34,2.45,3909875.0,0.0,1.0,2.37,2.47,2.34,2.45,3909875.0
2020-01-15,2.46,2.69,2.44,2.55,6027556.0,0.0,1.0,2.46,2.69,2.44,2.55,6027556.0
2020-01-16,2.59,2.62,2.365,2.38,5310598.0,0.0,1.0,2.59,2.62,2.365,2.38,5310598.0
2020-01-17,2.4,2.44,2.3,2.31,2777856.0,0.0,1.0,2.4,2.44,2.3,2.31,2777856.0
2020-01-21,2.33,2.9,2.32,2.81,10849049.0,0.0,1.0,2.33,2.9,2.32,2.81,10849049.0
2020-01-22,2.83,2.93,2.64,2.7,4523923.0,0.0,1.0,2.83,2.93,2.64,2.7,4523923.0
2020-01-23,2.67,2.67,2.53,2.56,2972933.0,0.0,1.0,2.67,2.67,2.53,2.56,2972933.0
2020-01-24,2.53,2.58,2.42,2.48,2869867.0,0.0,1.0,2.53,2.58,2.42,2.48,2869867.0
2020-01-27,2.4,2.54,2.39,2.51,2021564.0,0.0,1.0,2.4,2.54,2.39,2.51,2021564.0
2020-01-28,2.53,2.6556,2.48,2.52,2478251.0,0.0,1.0,2.53,2.6556,2.48,2.52,2478251.0
2020-01-29,2.52,2.545,2.45,2.45,1584491.0,0.0,1.0,2.52,2.545,2.45,2.45,1584491.0
2020-01-30,2.44,2.46,2.35,2.37,1865554.0,0.0,1.0,2.44,2.46,2.35,2.37,1865554.0
2020-01-31,2.35,2.45,2.23,2.25,3363270.0,0.0,1.0,2.35,2.45,2.23,2.25,3363270.0
2020-02-03,2.27,2.36,2.2,2.255,3772697.0,0.0,1.0,2.27,2.36,2.2,2.255,3772697.0
2020-02-04,2.28,2.33,2.24,2.31,3267947.0,0.0,1.0,2.28,2.33,2.24,2.31,3267947.0
2020-02-05,2.4,2.57,2.35,2.57,5903390.0,0.0,1.0,2.4,2.57,2.35,2.57,5903390.0
2020-02-06,2.58,2.59,2.39,2.42,2669325.0,0.0,1.0,2.58,2.59,2.39,2.42,2669325.0
2020-02-07,2.42,2.47,2.31,2.34,2121389.0,0.0,1.0,2.42,2.47,2.31,2.34,2121389.0
2020-02-10,2.33,2.45,2.3,2.45,2098385.0,0.0,1.0,2.33,2.45,2.3,2.45,2098385.0
2020-02-11,2.49,2.63,2.46,2.59,3847058.0,0.0,1.0,2.49,2.63,2.46,2.59,3847058.0
2020-02-12,2.61,2.68,2.49,2.5,2463671.0,0.0,1.0,2.61,2.68,2.49,2.5,2463671.0
2020-02-13,2.52,2.57,2.43,2.44,1790102.0,0.0,1.0,2.52,2.57,2.43,2.44,1790102.0
2020-02-14,2.44,2.49,2.4,2.48,1295848.0,0.0,1.0,2.44,2.49,2.4,2.48,1295848.0
2020-02-18,2.5,2.54,2.39,2.42,1567944.0,0.0,1.0,2.5,2.54,2.39,2.42,1567944.0
2020-02-19,2.39,2.45,2.26,2.4,5693768.0,0.0,1.0,2.39,2.45,2.26,2.4,5693768.0
2020-02-20,2.48,2.4997,1.97,2.15,16154755.0,0.0,1.0,2.48,2.4997,1.97,2.15,16154755.0
2020-02-21,2.15,2.17,2.02,2.06,4483130.0,0.0,1.0,2.15,2.17,2.02,2.06,4483130.0
2020-02-24,2.02,2.05,1.86,1.9,8255785.0,0.0,1.0,2.02,2.05,1.86,1.9,8255785.0
2020-02-25,1.93,1.97,1.83,1.85,4867854.0,0.0,1.0,1.93,1.97,1.83,1.85,4867854.0
2020-02-26,1.91,1.91,1.75,1.78,4398650.0,0.0,1.0,1.91,1.91,1.75,1.78,4398650.0
2020-02-27,1.75,1.8,1.62,1.66,4650078.0,0.0,1.0,1.75,1.8,1.62,1.66,4650078.0
2020-02-28,1.63,1.71,1.58,1.69,4157105.0,0.0,1.0,1.63,1.71,1.58,1.69,4157105.0
2020-03-02,1.73,1.75,1.54,1.63,3888303.0,0.0,1.0,1.73,1.75,1.54,1.63,3888303.0
2020-03-03,1.68,1.78,1.59,1.63,3488143.0,0.0,1.0,1.68,1.78,1.59,1.63,3488143.0
2020-03-04,1.66,1.98,1.66,1.86,5377938.0,0.0,1.0,1.66,1.98,1.66,1.86,5377938.0
2020-03-05,1.8,1.89,1.75,1.8,3035247.0,0.0,1.0,1.8,1.89,1.75,1.8,3035247.0
2020-03-06,1.75,1.82,1.65,1.69,5377802.0,0.0,1.0,1.75,1.82,1.65,1.69,5377802.0
2020-03-09,1.61,1.65,1.44,1.53,3868083.0,0.0,1.0,1.61,1.65,1.44,1.53,3868083.0
2020-03-10,1.61,1.69,1.5,1.61,2776490.0,0.0,1.0,1.61,1.69,1.5,1.61,2776490.0
2020-03-11,1.56,1.58,1.445,1.52,2259445.0,0.0,1.0,1.56,1.58,1.445,1.52,2259445.0
2020-03-12,1.36,1.47,1.34,1.36,6112736.0,0.0,1.0,1.36,1.47,1.34,1.36,6112736.0
2020-03-13,1.37,1.49,1.15,1.49,4662640.0,0.0,1.0,1.37,1.49,1.15,1.49,4662640.0
2020-03-16,1.31,1.37,1.18,1.26,4682753.0,0.0,1.0,1.31,1.37,1.18,1.26,4682753.0
2020-03-17,1.29,1.3,1.1324,1.27,7331313.0,0.0,1.0,1.29,1.3,1.1324,1.27,7331313.0
2020-03-18,1.17,1.22,0.95,1.0,5581243.0,0.0,1.0,1.17,1.22,0.95,1.0,5581243.0
2020-03-19,0.99,1.07,0.95,1.07,3702822.0,0.0,1.0,0.99,1.07,0.95,1.07,3702822.0
2020-03-20,1.09,1.11,0.975,1.01,5390349.0,0.0,1.0,1.09,1.11,0.975,1.01,5390349.0
2020-03-23,1.01,1.04,0.8986,0.9751,6119317.0,0.0,1.0,1.01,1.04,0.8986,0.9751,6119317.0
