Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,4.0,4.0,3.7933,3.824,19681.0,0.0,1.0,4.0,4.0,3.7933,3.824,19681.0
2020-01-03,3.7689,3.79,3.65,3.72,14155.0,0.0,1.0,3.7689,3.79,3.65,3.72,14155.0
2020-01-06,3.65,3.91,3.65,3.9,15785.0,0.0,1.0,3.65,3.91,3.65,3.9,15785.0
2020-01-07,3.94,3.9457,3.86,3.94,20943.0,0.0,1.0,3.94,3.9457,3.86,3.94,20943.0
2020-01-08,3.89,3.9893,3.89,3.93,10045.0,0.0,1.0,3.89,3.9893,3.89,3.93,10045.0
2020-01-09,3.91,4.0044,3.91,3.9997,11465.0,0.0,1.0,3.91,4.0044,3.91,3.9997,11465.0
2020-01-10,4.0,4.1348,3.92,4.04,18389.0,0.0,1.0,4.0,4.1348,3.92,4.04,18389.0
2020-01-13,4.1,4.1,4.02,4.02,5615.0,0.0,1.0,4.1,4.1,4.02,4.02,5615.0
2020-01-14,4.0256,4.08,3.95,4.02,10748.0,0.0,1.0,4.0256,4.08,3.95,4.02,10748.0
2020-01-15,4.06,4.22,4.02,4.18,6085.0,0.0,1.0,4.06,4.22,4.02,4.18,6085.0
2020-01-16,4.23,4.28,4.13,4.23,11830.0,0.0,1.0,4.23,4.28,4.13,4.23,11830.0
2020-01-17,4.274,4.274,4.24,4.25,2918.0,0.0,1.0,4.274,4.274,4.24,4.25,2918.0
2020-01-21,4.27,4.4,4.2598,4.39,11858.0,0.0,1.0,4.27,4.4,4.2598,4.39,11858.0
2020-01-22,4.39,4.41,4.36,4.37,4559.0,0.0,1.0,4.39,4.41,4.36,4.37,4559.0
2020-01-23,4.35,4.4,4.35,4.36,5531.0,0.0,1.0,4.35,4.4,4.35,4.36,5531.0
2020-01-24,4.3,4.38,3.91,4.2,30531.0,0.0,1.0,4.3,4.38,3.91,4.2,30531.0
2020-01-27,4.15,4.25,4.15,4.2,12352.0,0.0,1.0,4.15,4.25,4.15,4.2,12352.0
2020-01-28,4.24,4.24,4.02,4.18,2275.0,0.0,1.0,4.24,4.24,4.02,4.18,2275.0
2020-01-29,4.15,4.155,4.02,4.0293,5639.0,0.0,1.0,4.15,4.155,4.02,4.0293,5639.0
2020-01-30,4.01,4.08,4.01,4.08,1540.0,0.0,1.0,4.01,4.08,4.01,4.08,1540.0
2020-01-31,4.046,4.06,4.0302,4.0505,2648.0,0.0,1.0,4.046,4.06,4.0302,4.0505,2648.0
2020-02-03,4.06,4.1,4.025,4.06,7948.0,0.0,1.0,4.06,4.1,4.025,4.06,7948.0
2020-02-04,4.0762,4.15,4.0706,4.1308,3607.0,0.0,1.0,4.0762,4.15,4.0706,4.1308,3607.0
2020-02-05,4.12,4.1704,4.12,4.1439,4393.0,0.0,1.0,4.12,4.1704,4.12,4.1439,4393.0
2020-02-06,4.1,4.1,4.0279,4.0279,1389.0,0.0,1.0,4.1,4.1,4.0279,4.0279,1389.0
2020-02-07,4.02,4.1,4.01,4.06,7654.0,0.0,1.0,4.02,4.1,4.01,4.06,7654.0
2020-02-10,4.1181,4.1181,3.95,4.09,5051.0,0.0,1.0,4.1181,4.1181,3.95,4.09,5051.0
2020-02-11,3.91,3.9801,3.858,3.98,6354.0,0.0,1.0,3.91,3.9801,3.858,3.98,6354.0
2020-02-12,3.93,4.0,3.8419,3.8443,14426.0,0.0,1.0,3.93,4.0,3.8419,3.8443,14426.0
2020-02-13,3.84,3.84,3.6,3.67,14597.0,0.0,1.0,3.84,3.84,3.6,3.67,14597.0
2020-02-14,3.6337,3.6695,3.57,3.6695,12350.0,0.0,1.0,3.6337,3.6695,3.57,3.6695,12350.0
2020-02-18,3.7,3.88,3.68,3.88,9211.0,0.0,1.0,3.7,3.88,3.68,3.88,9211.0
2020-02-19,3.7225,3.8958,3.7225,3.82,7196.0,0.0,1.0,3.7225,3.8958,3.7225,3.82,7196.0
2020-02-20,3.82,3.83,3.6941,3.6941,9121.0,0.0,1.0,3.82,3.83,3.6941,3.6941,9121.0
2020-02-21,3.65,3.7,3.5,3.65,32149.0,0.0,1.0,3.65,3.7,3.5,3.65,32149.0
2020-02-24,3.51,3.53,3.48,3.51,5352.0,0.0,1.0,3.51,3.53,3.48,3.51,5352.0
2020-02-25,3.6021,3.6021,3.3,3.32,7645.0,0.0,1.0,3.6021,3.6021,3.3,3.32,7645.0
2020-02-26,3.2784,3.37,3.2784,3.29,9464.0,0.0,1.0,3.2784,3.37,3.2784,3.29,9464.0
2020-02-27,3.0837,3.1436,3.065,3.14,13960.0,0.0,1.0,3.0837,3.1436,3.065,3.14,13960.0
2020-02-28,3.05,3.05,3.0,3.045,15472.0,0.0,1.0,3.05,3.05,3.0,3.045,15472.0
2020-03-02,3.0,3.04,2.97,2.97,8252.0,0.0,1.0,3.0,3.04,2.97,2.97,8252.0
2020-03-03,3.04,3.05,3.0,3.0,18465.0,0.0,1.0,3.04,3.05,3.0,3.0,18465.0
2020-03-04,3.05,3.58,3.05,3.23,9590.0,0.0,1.0,3.05,3.58,3.05,3.23,9590.0
2020-03-05,3.09,3.15,3.09,3.15,3646.0,0.0,1.0,3.09,3.15,3.09,3.15,3646.0
2020-03-06,3.118,3.118,3.0,3.0,3001.0,0.0,1.0,3.118,3.118,3.0,3.0,3001.0
2020-03-09,2.82,2.9,2.8,2.86,23866.0,0.0,1.0,2.82,2.9,2.8,2.86,23866.0
2020-03-10,3.03,3.15,3.03,3.15,24992.0,0.0,1.0,3.03,3.15,3.03,3.15,24992.0
