Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,7.5138,7.7,7.462,7.52,8845.0,0.0,1.0,7.5138,7.7,7.462,7.52,8845.0
2020-01-03,7.42,7.6,7.42,7.44,8361.0,0.0,1.0,7.42,7.6,7.42,7.44,8361.0
2020-01-06,7.44,7.56,7.3415,7.55,26876.0,0.0,1.0,7.44,7.56,7.3415,7.55,26876.0
2020-01-07,7.57,7.8,7.48,7.58,13139.0,0.0,1.0,7.57,7.8,7.48,7.58,13139.0
2020-01-08,7.55,7.62,7.32,7.4053,12642.0,0.0,1.0,7.55,7.62,7.32,7.4053,12642.0
2020-01-09,7.3613,7.408,7.25,7.26,11532.0,0.0,1.0,7.3613,7.408,7.25,7.26,11532.0
2020-01-10,7.48,7.48,7.14,7.25,32443.0,0.0,1.0,7.48,7.48,7.14,7.25,32443.0
2020-01-13,7.25,7.4119,7.2,7.4,7320.0,0.0,1.0,7.25,7.4119,7.2,7.4,7320.0
2020-01-14,7.25,7.3573,7.21,7.22,11288.0,0.0,1.0,7.25,7.3573,7.21,7.22,11288.0
2020-01-15,7.48,7.48,7.23,7.28,8066.0,0.0,1.0,7.48,7.48,7.23,7.28,8066.0
2020-01-16,7.22,7.435,7.22,7.43,4472.0,0.0,1.0,7.22,7.435,7.22,7.43,4472.0
2020-01-17,7.33,7.44,7.21,7.31,14187.0,0.0,1.0,7.33,7.44,7.21,7.31,14187.0
2020-01-21,7.23,7.3402,7.21,7.27,9479.0,0.0,1.0,7.23,7.3402,7.21,7.27,9479.0
2020-01-22,7.26,7.32,6.85,7.2,22070.0,0.0,1.0,7.26,7.32,6.85,7.2,22070.0
2020-01-23,7.19,7.2354,7.0,7.0,22832.0,0.0,1.0,7.19,7.2354,7.0,7.0,22832.0
2020-01-24,7.0,7.07,6.98,7.0,17789.0,0.0,1.0,7.0,7.07,6.98,7.0,17789.0
2020-01-27,6.96,7.0861,6.85,6.9,25644.0,0.0,1.0,6.96,7.0861,6.85,6.9,25644.0
2020-01-28,6.86,7.3625,6.86,7.18,24535.0,0.0,1.0,6.86,7.3625,6.86,7.18,24535.0
2020-01-29,7.18,7.365,7.0,7.01,27248.0,0.0,1.0,7.18,7.365,7.0,7.01,27248.0
2020-01-30,7.0,7.14,6.99,7.02,12072.0,0.0,1.0,7.0,7.14,6.99,7.02,12072.0
2020-01-31,7.0345,7.1,6.8871,6.95,8622.0,0.0,1.0,7.0345,7.1,6.8871,6.95,8622.0
2020-02-03,6.93,7.12,6.93,7.03,10442.0,0.0,1.0,6.93,7.12,6.93,7.03,10442.0
2020-02-04,7.1,7.225,7.07,7.16,21030.0,0.0,1.0,7.1,7.225,7.07,7.16,21030.0
2020-02-05,7.04,7.25,6.95,7.0,17209.0,0.0,1.0,7.04,7.25,6.95,7.0,17209.0
2020-02-06,7.8,8.46,7.5,7.65,105788.0,0.0,1.0,7.8,8.46,7.5,7.65,105788.0
2020-02-07,7.8075,7.92,7.64,7.8,56839.0,0.0,1.0,7.8075,7.92,7.64,7.8,56839.0
2020-02-10,7.85,7.865,7.6,7.8,29990.0,0.0,1.0,7.85,7.865,7.6,7.8,29990.0
2020-02-11,7.92,7.9233,7.75,7.89,22348.0,0.0,1.0,7.92,7.9233,7.75,7.89,22348.0
2020-02-12,7.71,7.94,7.68,7.79,17996.0,0.0,1.0,7.71,7.94,7.68,7.79,17996.0
2020-02-13,7.71,7.73,7.38,7.38,22096.0,0.0,1.0,7.71,7.73,7.38,7.38,22096.0
2020-02-14,7.4,7.635,7.24,7.32,29675.0,0.0,1.0,7.4,7.635,7.24,7.32,29675.0
2020-02-18,7.4088,7.58,7.15,7.15,96775.0,0.0,1.0,7.4088,7.58,7.15,7.15,96775.0
2020-02-19,7.31,7.3884,7.035,7.13,155593.0,0.0,1.0,7.31,7.3884,7.035,7.13,155593.0
2020-02-20,7.05,7.88,7.0169,7.75,60947.0,0.0,1.0,7.05,7.88,7.0169,7.75,60947.0
2020-02-21,7.85,8.08,7.52,7.71,19759.0,0.0,1.0,7.85,8.08,7.52,7.71,19759.0
2020-02-24,7.3,7.65,7.27,7.52,65741.0,0.0,1.0,7.3,7.65,7.27,7.52,65741.0
2020-02-25,7.49,7.8062,7.3,7.3,25442.0,0.0,1.0,7.49,7.8062,7.3,7.3,25442.0
2020-02-26,7.31,7.4,7.25,7.26,17056.0,0.0,1.0,7.31,7.4,7.25,7.26,17056.0
2020-02-27,7.26,7.4246,6.985,7.07,41948.0,0.0,1.0,7.26,7.4246,6.985,7.07,41948.0
2020-02-28,6.96,7.3178,6.95,7.08,35321.0,0.0,1.0,6.96,7.3178,6.95,7.08,35321.0
2020-03-02,7.12,7.26,7.0,7.0,28876.0,0.0,1.0,7.12,7.26,7.0,7.0,28876.0
2020-03-03,7.05,7.395,7.05,7.07,19463.0,0.0,1.0,7.05,7.395,7.05,7.07,19463.0
2020-03-04,7.1,7.2,7.05,7.05,24146.0,0.0,1.0,7.1,7.2,7.05,7.05,24146.0
2020-03-05,7.05,7.34,6.9,6.91,35779.0,0.0,1.0,7.05,7.34,6.9,6.91,35779.0
2020-03-06,6.85,7.03,6.6,7.0,28277.0,0.0,1.0,6.85,7.03,6.6,7.0,28277.0
2020-03-09,6.71,6.85,6.68,6.7,55943.0,0.0,1.0,6.71,6.85,6.68,6.7,55943.0
2020-03-10,6.83,6.83,6.465,6.7,40146.0,0.0,1.0,6.83,6.83,6.465,6.7,40146.0
2020-03-11,6.589,6.589,6.35,6.44,22357.0,0.0,1.0,6.589,6.589,6.35,6.44,22357.0
2020-03-12,6.24,6.43,5.48,5.5397,45148.0,0.0,1.0,6.24,6.43,5.48,5.5397,45148.0
2020-03-13,5.46,5.88,5.36,5.69,49516.0,0.0,1.0,5.46,5.88,5.36,5.69,49516.0
2020-03-16,5.1288,5.415,5.077,5.2001,11788.0,0.0,1.0,5.1288,5.415,5.077,5.2001,11788.0
2020-03-17,5.08,6.19,4.95,6.09,68407.0,0.0,1.0,5.08,6.19,4.95,6.09,68407.0
2020-03-18,5.97,5.97,5.08,5.54,23081.0,0.0,1.0,5.97,5.97,5.08,5.54,23081.0
2020-03-19,5.54,5.69,5.36,5.47,48771.0,0.0,1.0,5.54,5.69,5.36,5.47,48771.0
2020-03-20,5.5,5.68,5.1403,5.31,107863.0,0.0,1.0,5.5,5.68,5.1403,5.31,107863.0
2020-03-23,4.91,5.445,4.91,5.05,54884.0,0.0,1.0,4.91,5.445,4.91,5.05,54884.0
2020-03-24,5.0196,5.81,5.0196,5.14,37186.0,0.0,1.0,5.0196,5.81,5.0196,5.14,37186.0
2020-03-25,5.2263,5.765,5.16,5.67,46738.0,0.0,1.0,5.2263,5.765,5.16,5.67,46738.0
2020-03-26,5.5002,6.08,5.5002,5.59,33703.0,0.0,1.0,5.5002,6.08,5.5002,5.59,33703.0
2020-03-27,5.75,5.75,5.4,5.4,23221.0,0.0,1.0,5.75,5.75,5.4,5.4,23221.0
2020-03-30,5.3,5.94,5.26,5.29,18256.0,0.0,1.0,5.3,5.94,5.26,5.29,18256.0
2020-03-31,5.33,6.2,5.0,5.2,49571.0,0.0,1.0,5.33,6.2,5.0,5.2,49571.0
2020-04-01,5.1723,5.24,5.04,5.11,9181.0,0.0,1.0,5.1723,5.24,5.04,5.11,9181.0
2020-04-02,4.96,5.12,4.85,4.995,72840.0,0.0,1.0,4.96,5.12,4.85,4.995,72840.0
2020-04-03,4.92,5.79,4.9,5.665,19532.0,0.0,1.0,4.92,5.79,4.9,5.665,19532.0
2020-04-06,5.65,6.2,5.65,6.125,7571.0,0.0,1.0,5.65,6.2,5.65,6.125,7571.0
2020-04-07,6.1826,6.5,6.14,6.5,14098.0,0.0,1.0,6.1826,6.5,6.14,6.5,14098.0
2020-04-08,6.55,6.98,6.35,6.62,76029.0,0.0,1.0,6.55,6.98,6.35,6.62,76029.0
2020-04-09,6.73,6.73,6.05,6.5,36334.0,0.0,1.0,6.73,6.73,6.05,6.5,36334.0
2020-04-13,6.51,6.51,6.12,6.14,12998.0,0.0,1.0,6.51,6.51,6.12,6.14,12998.0
2020-04-14,6.14,6.64,6.1,6.31,48881.0,0.0,1.0,6.14,6.64,6.1,6.31,48881.0
2020-04-15,6.06,6.13,6.0,6.02,11217.0,0.0,1.0,6.06,6.13,6.0,6.02,11217.0
2020-04-16,5.96,6.2799,5.91,6.0,17924.0,0.0,1.0,5.96,6.2799,5.91,6.0,17924.0
2020-04-17,6.1,6.3,5.9,6.21,6670.0,0.0,1.0,6.1,6.3,5.9,6.21,6670.0
2020-04-20,6.12,6.75,6.12,6.75,12588.0,0.0,1.0,6.12,6.75,6.12,6.75,12588.0
2020-04-21,6.42,6.68,6.185,6.66,3691.0,0.0,1.0,6.42,6.68,6.185,6.66,3691.0
2020-04-22,6.62,6.94,6.2,6.85,31227.0,0.0,1.0,6.62,6.94,6.2,6.85,31227.0
2020-04-23,6.891,7.16,6.5418,7.06,24382.0,0.0,1.0,6.891,7.16,6.5418,7.06,24382.0
2020-04-24,7.15,7.15,6.85,6.87,8640.0,0.0,1.0,7.15,7.15,6.85,6.87,8640.0
2020-04-27,6.98,7.103,6.6502,7.09,12899.0,0.0,1.0,6.98,7.103,6.6502,7.09,12899.0
2020-04-28,7.12,7.25,6.45,7.01,18889.0,0.0,1.0,7.12,7.25,6.45,7.01,18889.0
2020-04-29,6.9125,7.165,6.9125,7.0,10556.0,0.0,1.0,6.9125,7.165,6.9125,7.0,10556.0
2020-04-30,7.13,7.23,6.8139,7.05,29688.0,0.0,1.0,7.13,7.23,6.8139,7.05,29688.0
