Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,6.3,6.3,6.3,6.3,2.0,0.0,1.0,6.3,6.3,6.3,6.3,2.0
2020-01-03,6.89,6.97,6.8622,6.97,938.0,0.0,1.0,6.89,6.97,6.8622,6.97,938.0
2020-01-06,6.97,6.97,6.97,6.97,109.0,0.0,1.0,6.97,6.97,6.97,6.97,109.0
2020-01-07,6.965,7.39,6.965,7.39,513.0,0.0,1.0,6.965,7.39,6.965,7.39,513.0
2020-01-08,7.54,7.6991,7.355,7.6991,876.0,0.0,1.0,7.54,7.6991,7.355,7.6991,876.0
2020-01-09,6.32,7.58,6.32,7.58,888.0,0.0,1.0,6.32,7.58,6.32,7.58,888.0
2020-01-10,7.37,7.37,7.37,7.37,251.0,0.0,1.0,7.37,7.37,7.37,7.37,251.0
2020-01-13,7.37,7.37,7.37,7.37,17.0,0.0,1.0,7.37,7.37,7.37,7.37,17.0
2020-01-14,7.46,7.5,7.46,7.5,1358.0,0.0,1.0,7.46,7.5,7.46,7.5,1358.0
2020-01-15,7.49,7.49,7.49,7.49,218.0,0.0,1.0,7.49,7.49,7.49,7.49,218.0
2020-01-16,7.0749,7.0749,7.0749,7.0749,489.0,0.0,1.0,7.0749,7.0749,7.0749,7.0749,489.0
2020-01-17,7.0749,7.0749,7.0749,7.0749,0.0,0.0,1.0,7.0749,7.0749,7.0749,7.0749,0.0
2020-01-21,7.0749,7.0749,7.0749,7.0749,9.0,0.0,1.0,7.0749,7.0749,7.0749,7.0749,9.0
2020-01-22,7.0749,7.0749,7.0749,7.0749,0.0,0.0,1.0,7.0749,7.0749,7.0749,7.0749,0.0
2020-01-23,7.0749,7.0749,7.0749,7.0749,32.0,0.0,1.0,7.0749,7.0749,7.0749,7.0749,32.0
2020-01-24,7.0749,7.0749,7.0749,7.0749,4.0,0.0,1.0,7.0749,7.0749,7.0749,7.0749,4.0
2020-01-27,6.47,6.92,6.36,6.41,1231.0,0.0,1.0,6.47,6.92,6.36,6.41,1231.0
