Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,1.92,1.93,1.83,1.87,1068440.0,0.0,1.0,1.92,1.93,1.83,1.87,1068440.0
2020-01-03,1.87,1.92,1.83,1.9,960663.0,0.0,1.0,1.87,1.92,1.83,1.9,960663.0
2020-01-06,1.95,1.96,1.86,1.88,799741.0,0.0,1.0,1.95,1.96,1.86,1.88,799741.0
2020-01-07,1.89,1.9,1.83,1.84,1018897.0,0.0,1.0,1.89,1.9,1.83,1.84,1018897.0
2020-01-08,1.84,1.89,1.75,1.76,1200411.0,0.0,1.0,1.84,1.89,1.75,1.76,1200411.0
2020-01-09,1.81,1.81,1.72,1.75,690180.0,0.0,1.0,1.81,1.81,1.72,1.75,690180.0
2020-01-10,1.76,1.81,1.71,1.71,938982.0,0.0,1.0,1.76,1.81,1.71,1.71,938982.0
2020-01-13,1.71,1.8299,1.7,1.79,708005.0,0.0,1.0,1.71,1.8299,1.7,1.79,708005.0
2020-01-14,1.8,1.83,1.74,1.77,846774.0,0.0,1.0,1.8,1.83,1.74,1.77,846774.0
2020-01-15,1.78,1.8,1.74,1.8,699438.0,0.0,1.0,1.78,1.8,1.74,1.8,699438.0
2020-01-16,1.76,1.88,1.76,1.81,983111.0,0.0,1.0,1.76,1.88,1.76,1.81,983111.0
2020-01-17,1.85,1.85,1.73,1.73,734853.0,0.0,1.0,1.85,1.85,1.73,1.73,734853.0
2020-01-21,1.73,1.73,1.65,1.65,1275659.0,0.0,1.0,1.73,1.73,1.65,1.65,1275659.0
2020-01-22,1.65,1.68,1.62,1.66,614130.0,0.0,1.0,1.65,1.68,1.62,1.66,614130.0
2020-01-23,1.65,1.6734,1.61,1.65,369983.0,0.0,1.0,1.65,1.6734,1.61,1.65,369983.0
2020-01-24,1.68,1.68,1.61,1.62,564928.0,0.0,1.0,1.68,1.68,1.61,1.62,564928.0
2020-01-27,1.6,1.66,1.56,1.61,588985.0,0.0,1.0,1.6,1.66,1.56,1.61,588985.0
2020-01-28,1.59,1.61,1.5,1.52,1018930.0,0.0,1.0,1.59,1.61,1.5,1.52,1018930.0
2020-01-29,1.51,1.55,1.43,1.47,1108791.0,0.0,1.0,1.51,1.55,1.43,1.47,1108791.0
2020-01-30,1.46,1.49,1.39,1.48,652531.0,0.0,1.0,1.46,1.49,1.39,1.48,652531.0
2020-01-31,1.49,1.66,1.39,1.42,2646030.0,0.0,1.0,1.49,1.66,1.39,1.42,2646030.0
2020-02-03,1.54,1.78,1.4918,1.64,4046480.0,0.0,1.0,1.54,1.78,1.4918,1.64,4046480.0
2020-02-04,1.67,1.75,1.67,1.7,1337594.0,0.0,1.0,1.67,1.75,1.67,1.7,1337594.0
2020-02-05,1.75,1.75,1.625,1.73,1003627.0,0.0,1.0,1.75,1.75,1.625,1.73,1003627.0
2020-02-06,1.74,1.74,1.65,1.66,478491.0,0.0,1.0,1.74,1.74,1.65,1.66,478491.0
2020-02-07,1.65,1.66,1.55,1.63,740271.0,0.0,1.0,1.65,1.66,1.55,1.63,740271.0
2020-02-10,1.63,1.79,1.6,1.61,2612115.0,0.0,1.0,1.63,1.79,1.6,1.61,2612115.0
2020-02-11,1.65,1.75,1.65,1.71,1611536.0,0.0,1.0,1.65,1.75,1.65,1.71,1611536.0
2020-02-12,1.75,1.78,1.67,1.72,1152995.0,0.0,1.0,1.75,1.78,1.67,1.72,1152995.0
2020-02-13,1.73,1.74,1.66,1.71,740430.0,0.0,1.0,1.73,1.74,1.66,1.71,740430.0
2020-02-14,1.55,1.55,1.48,1.49,3210876.0,0.0,1.0,1.55,1.55,1.48,1.49,3210876.0
2020-02-18,1.52,1.53,1.42,1.43,2084449.0,0.0,1.0,1.52,1.53,1.42,1.43,2084449.0
2020-02-19,1.43,1.47,1.39,1.44,2048591.0,0.0,1.0,1.43,1.47,1.39,1.44,2048591.0
2020-02-20,1.45,1.45,1.39,1.39,1947960.0,0.0,1.0,1.45,1.45,1.39,1.39,1947960.0
2020-02-21,1.42,1.43,1.36,1.36,1681494.0,0.0,1.0,1.42,1.43,1.36,1.36,1681494.0
2020-02-24,1.35,1.35,1.25,1.29,2575456.0,0.0,1.0,1.35,1.35,1.25,1.29,2575456.0
2020-02-25,1.3,1.32,1.16,1.16,2814345.0,0.0,1.0,1.3,1.32,1.16,1.16,2814345.0
2020-02-26,1.27,1.27,1.13,1.15,2348479.0,0.0,1.0,1.27,1.27,1.13,1.15,2348479.0
2020-02-27,1.21,1.21,1.045,1.09,2097053.0,0.0,1.0,1.21,1.21,1.045,1.09,2097053.0
2020-02-28,1.06,1.19,1.04,1.18,1701476.0,0.0,1.0,1.06,1.19,1.04,1.18,1701476.0
2020-03-02,1.4,1.4,1.14,1.28,1651130.0,0.0,1.0,1.4,1.4,1.14,1.28,1651130.0
2020-03-03,1.3,1.44,1.22,1.3,3511872.0,0.0,1.0,1.3,1.44,1.22,1.3,3511872.0
2020-03-04,1.35,1.41,1.32,1.33,1738608.0,0.0,1.0,1.35,1.41,1.32,1.33,1738608.0
2020-03-05,1.31,1.33,1.25,1.29,1107173.0,0.0,1.0,1.31,1.33,1.25,1.29,1107173.0
2020-03-06,1.25,1.2608,1.18,1.23,865037.0,0.0,1.0,1.25,1.2608,1.18,1.23,865037.0
2020-03-09,1.17,1.175,1.05,1.07,1429558.0,0.0,1.0,1.17,1.175,1.05,1.07,1429558.0
2020-03-10,1.18,1.2,1.02,1.13,1140964.0,0.0,1.0,1.18,1.2,1.02,1.13,1140964.0
2020-03-11,1.11,1.12,1.01,1.02,1531468.0,0.0,1.0,1.11,1.12,1.01,1.02,1531468.0
2020-03-12,0.89,0.94,0.78,0.8462,1983299.0,0.0,1.0,0.89,0.94,0.78,0.8462,1983299.0
2020-03-13,0.9,0.95,0.85,0.9317,1478682.0,0.0,1.0,0.9,0.95,0.85,0.9317,1478682.0
2020-03-16,0.81,0.8745,0.81,0.8549,1144096.0,0.0,1.0,0.81,0.8745,0.81,0.8549,1144096.0
