Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,1.62,1.825,1.6,1.69,545736.0,0.0,1.0,1.62,1.825,1.6,1.69,545736.0
2020-01-03,1.8,1.8,1.61,1.71,322043.0,0.0,1.0,1.8,1.8,1.61,1.71,322043.0
2020-01-06,1.79,1.79,1.45,1.61,440494.0,0.0,1.0,1.79,1.79,1.45,1.61,440494.0
2020-01-07,1.59,1.5991,1.45,1.51,162320.0,0.0,1.0,1.59,1.5991,1.45,1.51,162320.0
2020-01-08,1.47,1.55,1.45,1.51,181124.0,0.0,1.0,1.47,1.55,1.45,1.51,181124.0
2020-01-09,1.56,1.56,1.46,1.52,173432.0,0.0,1.0,1.56,1.56,1.46,1.52,173432.0
2020-01-10,1.54,1.54,1.46,1.4999,118239.0,0.0,1.0,1.54,1.54,1.46,1.4999,118239.0
2020-01-13,1.48,1.48,1.31,1.39,135249.0,0.0,1.0,1.48,1.48,1.31,1.39,135249.0
2020-01-14,1.37,1.54,1.37,1.52,122501.0,0.0,1.0,1.37,1.54,1.37,1.52,122501.0
2020-01-15,1.52,1.57,1.4347,1.46,127758.0,0.0,1.0,1.52,1.57,1.4347,1.46,127758.0
2020-01-16,1.5,1.55,1.46,1.51,121138.0,0.0,1.0,1.5,1.55,1.46,1.51,121138.0
2020-01-17,1.5,1.5236,1.4,1.44,50956.0,0.0,1.0,1.5,1.5236,1.4,1.44,50956.0
2020-01-21,1.48,1.65,1.45,1.48,159931.0,0.0,1.0,1.48,1.65,1.45,1.48,159931.0
2020-01-22,1.5,1.55,1.4926,1.5,156888.0,0.0,1.0,1.5,1.55,1.4926,1.5,156888.0
2020-01-23,1.51,1.55,1.5,1.52,93479.0,0.0,1.0,1.51,1.55,1.5,1.52,93479.0
2020-01-24,1.53,1.55,1.47,1.4837,78912.0,0.0,1.0,1.53,1.55,1.47,1.4837,78912.0
2020-01-27,1.48,1.52,1.44,1.45,100219.0,0.0,1.0,1.48,1.52,1.44,1.45,100219.0
2020-01-28,1.48,1.48,1.38,1.41,111625.0,0.0,1.0,1.48,1.48,1.38,1.41,111625.0
2020-01-29,1.38,1.3999,1.29,1.35,108593.0,0.0,1.0,1.38,1.3999,1.29,1.35,108593.0
2020-01-30,1.35,1.4,1.2848,1.37,111901.0,0.0,1.0,1.35,1.4,1.2848,1.37,111901.0
2020-01-31,1.37,1.3845,1.33,1.37,64845.0,0.0,1.0,1.37,1.3845,1.33,1.37,64845.0
2020-02-03,1.38,1.38,1.3414,1.35,42345.0,0.0,1.0,1.38,1.38,1.3414,1.35,42345.0
2020-02-04,1.3847,1.5,1.35,1.46,42755.0,0.0,1.0,1.3847,1.5,1.35,1.46,42755.0
2020-02-05,1.51,1.74,1.46,1.5,277024.0,0.0,1.0,1.51,1.74,1.46,1.5,277024.0
2020-02-06,1.53,1.59,1.4166,1.56,71310.0,0.0,1.0,1.53,1.59,1.4166,1.56,71310.0
2020-02-07,1.5512,1.63,1.4,1.53,158161.0,0.0,1.0,1.5512,1.63,1.4,1.53,158161.0
2020-02-10,1.46,1.6,1.46,1.54,107175.0,0.0,1.0,1.46,1.6,1.46,1.54,107175.0
2020-02-11,1.5,1.57,1.41,1.4854,71481.0,0.0,1.0,1.5,1.57,1.41,1.4854,71481.0
2020-02-12,1.54,1.54,1.42,1.5,108254.0,0.0,1.0,1.54,1.54,1.42,1.5,108254.0
2020-02-13,1.45,1.53,1.45,1.49,102029.0,0.0,1.0,1.45,1.53,1.45,1.49,102029.0
2020-02-14,1.49,1.585,1.47,1.5403,204965.0,0.0,1.0,1.49,1.585,1.47,1.5403,204965.0
2020-02-18,1.57,1.61,1.5,1.585,135266.0,0.0,1.0,1.57,1.61,1.5,1.585,135266.0
2020-02-19,1.58,1.9,1.58,1.78,453164.0,0.0,1.0,1.58,1.9,1.58,1.78,453164.0
2020-02-20,1.8,1.94,1.66,1.7971,233682.0,0.0,1.0,1.8,1.94,1.66,1.7971,233682.0
2020-02-21,1.79,2.19,1.7001,2.1,400119.0,0.0,1.0,1.79,2.19,1.7001,2.1,400119.0
2020-02-24,2.01,2.0786,1.83,1.9008,306000.0,0.0,1.0,2.01,2.0786,1.83,1.9008,306000.0
