Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,8.1,8.49,8.1,8.19,319375.0,0.0,1.0,8.1,8.49,8.1,8.19,319375.0
2020-01-03,8.2,8.26,8.13,8.19,134356.0,0.0,1.0,8.2,8.26,8.13,8.19,134356.0
2020-01-06,8.19,8.26,7.955,8.22,159286.0,0.0,1.0,8.19,8.26,7.955,8.22,159286.0
2020-01-07,8.22,8.26,8.02,8.12,117723.0,0.0,1.0,8.22,8.26,8.02,8.12,117723.0
2020-01-08,8.12,8.32,8.02,8.19,89033.0,0.0,1.0,8.12,8.32,8.02,8.19,89033.0
2020-01-09,8.17,8.33,8.11,8.19,81633.0,0.0,1.0,8.17,8.33,8.11,8.19,81633.0
2020-01-10,8.16,8.34,8.02,8.12,101737.0,0.0,1.0,8.16,8.34,8.02,8.12,101737.0
2020-01-13,8.2,8.2,7.88,8.04,170183.0,0.0,1.0,8.2,8.2,7.88,8.04,170183.0
2020-01-14,8.1,8.25,8.05,8.23,109339.0,0.0,1.0,8.1,8.25,8.05,8.23,109339.0
2020-01-15,8.24,8.25,8.1301,8.16,73349.0,0.0,1.0,8.24,8.25,8.1301,8.16,73349.0
2020-01-16,8.16,8.27,8.0609,8.2,151264.0,0.0,1.0,8.16,8.27,8.0609,8.2,151264.0
2020-01-17,8.25,8.97,8.23,8.38,428526.0,0.0,1.0,8.25,8.97,8.23,8.38,428526.0
2020-01-21,8.38,8.38,8.2,8.38,214384.0,0.0,1.0,8.38,8.38,8.2,8.38,214384.0
2020-01-22,8.4,8.84,8.4,8.45,234323.0,0.0,1.0,8.4,8.84,8.4,8.45,234323.0
2020-01-23,8.44,8.44,8.13,8.23,102488.0,0.0,1.0,8.44,8.44,8.13,8.23,102488.0
2020-01-24,8.21,8.39,8.14,8.25,75774.0,0.0,1.0,8.21,8.39,8.14,8.25,75774.0
2020-01-27,8.0,8.0,7.84,7.9,110963.0,0.0,1.0,8.0,8.0,7.84,7.9,110963.0
