Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,4.3,4.3,4.256,4.3,17839.0,0.0,1.0,4.3,4.3,4.256,4.3,17839.0
2020-01-03,4.29,4.3,4.28,4.28,5601.0,0.0,1.0,4.29,4.3,4.28,4.28,5601.0
2020-01-06,4.16,4.4017,4.15,4.15,76709.0,0.0,1.0,4.16,4.4017,4.15,4.15,76709.0
2020-01-07,4.41,4.41,4.1,4.1,26782.0,0.0,1.0,4.41,4.41,4.1,4.1,26782.0
2020-01-08,4.01,4.3696,4.01,4.26,25917.0,0.0,1.0,4.01,4.3696,4.01,4.26,25917.0
2020-01-09,4.39,4.4,4.3,4.37,20729.0,0.0,1.0,4.39,4.4,4.3,4.37,20729.0
2020-01-10,4.4,4.4,4.23,4.23,5081.0,0.0,1.0,4.4,4.4,4.23,4.23,5081.0
2020-01-13,4.33,4.38,4.267,4.3231,3583.0,0.0,1.0,4.33,4.38,4.267,4.3231,3583.0
2020-01-14,4.311,4.3692,4.2,4.3692,3775.0,0.0,1.0,4.311,4.3692,4.2,4.3692,3775.0
2020-01-15,4.3645,4.3645,4.2,4.2,3023.0,0.0,1.0,4.3645,4.3645,4.2,4.2,3023.0
2020-01-16,4.29,4.29,4.2101,4.2101,1962.0,0.0,1.0,4.29,4.29,4.2101,4.2101,1962.0
2020-01-17,4.27,4.3063,4.2,4.24,6674.0,0.0,1.0,4.27,4.3063,4.2,4.24,6674.0
2020-01-21,4.3,4.3,4.11,4.19,11707.0,0.0,1.0,4.3,4.3,4.11,4.19,11707.0
2020-01-22,4.1595,4.19,4.15,4.15,11048.0,0.0,1.0,4.1595,4.19,4.15,4.15,11048.0
2020-01-23,4.17,4.18,3.9,3.98,48825.0,0.0,1.0,4.17,4.18,3.9,3.98,48825.0
2020-01-24,3.9731,4.0022,3.9,3.9,14866.0,0.0,1.0,3.9731,4.0022,3.9,3.9,14866.0
2020-01-27,3.9,4.4,3.85,4.01,26205.0,0.0,1.0,3.9,4.4,3.85,4.01,26205.0
2020-01-28,4.1,4.2,4.0988,4.12,7121.0,0.0,1.0,4.1,4.2,4.0988,4.12,7121.0
2020-01-29,4.14,4.1498,4.12,4.13,2612.0,0.0,1.0,4.14,4.1498,4.12,4.13,2612.0
2020-01-30,4.12,4.15,4.0213,4.0876,8696.0,0.0,1.0,4.12,4.15,4.0213,4.0876,8696.0
2020-01-31,4.15,4.15,4.0273,4.14,3864.0,0.0,1.0,4.15,4.15,4.0273,4.14,3864.0
2020-02-03,4.1441,4.15,4.01,4.05,16956.0,0.0,1.0,4.1441,4.15,4.01,4.05,16956.0
2020-02-04,4.06,4.06,3.97,4.03,8732.0,0.0,1.0,4.06,4.06,3.97,4.03,8732.0
2020-02-05,4.02,4.12,3.97,4.0954,12453.0,0.0,1.0,4.02,4.12,3.97,4.0954,12453.0
2020-02-06,4.054,4.12,4.0352,4.04,3667.0,0.0,1.0,4.054,4.12,4.0352,4.04,3667.0
2020-02-07,4.04,4.0593,3.92,3.99,9260.0,0.0,1.0,4.04,4.0593,3.92,3.99,9260.0
2020-02-10,3.99,4.05,3.95,4.03,1734.0,0.0,1.0,3.99,4.05,3.95,4.03,1734.0
2020-02-11,3.93,4.07,3.91,4.07,5238.0,0.0,1.0,3.93,4.07,3.91,4.07,5238.0
2020-02-12,4.01,4.01,4.01,4.01,225.0,0.0,1.0,4.01,4.01,4.01,4.01,225.0
2020-02-13,4.005,4.04,3.9792,3.9792,1910.0,0.0,1.0,4.005,4.04,3.9792,3.9792,1910.0
2020-02-14,3.99,3.99,3.85,3.8886,2483.0,0.0,1.0,3.99,3.99,3.85,3.8886,2483.0
2020-02-18,3.82,4.01,3.75,3.9003,20321.0,0.0,1.0,3.82,4.01,3.75,3.9003,20321.0
2020-02-19,3.95,3.95,3.91,3.94,2373.0,0.0,1.0,3.95,3.95,3.91,3.94,2373.0
2020-02-20,3.9299,3.95,3.9299,3.95,1224.0,0.0,1.0,3.9299,3.95,3.9299,3.95,1224.0
2020-02-21,3.94,3.99,3.9,3.99,2484.0,0.0,1.0,3.94,3.99,3.9,3.99,2484.0
2020-02-24,3.9,4.01,3.9,3.96,15342.0,0.0,1.0,3.9,4.01,3.9,3.96,15342.0
2020-02-25,3.96,3.96,3.9,3.93,7519.0,0.0,1.0,3.96,3.96,3.9,3.93,7519.0
2020-02-26,3.89,3.925,3.85,3.85,11463.0,0.0,1.0,3.89,3.925,3.85,3.85,11463.0
2020-02-27,3.85,3.89,3.8359,3.89,3358.0,0.0,1.0,3.85,3.89,3.8359,3.89,3358.0
2020-02-28,3.85,3.85,3.84,3.84,5775.0,0.0,1.0,3.85,3.85,3.84,3.84,5775.0
2020-03-02,3.81,3.96,3.7273,3.8,6788.0,0.0,1.0,3.81,3.96,3.7273,3.8,6788.0
2020-03-03,3.9,4.1003,3.8347,3.94,19487.0,0.0,1.0,3.9,4.1003,3.8347,3.94,19487.0
2020-03-04,3.8172,4.09,3.8172,4.08,1634.0,0.0,1.0,3.8172,4.09,3.8172,4.08,1634.0
2020-03-05,3.9272,4.01,3.85,3.85,12572.0,0.0,1.0,3.9272,4.01,3.85,3.85,12572.0
2020-03-06,3.95,4.09,3.9,3.9,6598.0,0.0,1.0,3.95,4.09,3.9,3.9,6598.0
2020-03-09,3.8001,3.85,3.24,3.24,19280.0,0.0,1.0,3.8001,3.85,3.24,3.24,19280.0
2020-03-10,3.19,3.36,3.1699,3.32,14245.0,0.0,1.0,3.19,3.36,3.1699,3.32,14245.0
2020-03-11,3.3,3.3647,3.18,3.25,5746.0,0.0,1.0,3.3,3.3647,3.18,3.25,5746.0
2020-03-12,3.25,3.4,3.0322,3.4,17409.0,0.0,1.0,3.25,3.4,3.0322,3.4,17409.0
2020-03-13,3.98,3.99,3.06,3.06,7968.0,0.0,1.0,3.98,3.99,3.06,3.06,7968.0
2020-03-16,3.43,3.74,3.3,3.65,7048.0,0.0,1.0,3.43,3.74,3.3,3.65,7048.0
2020-03-17,3.99,3.99,3.692,3.95,8974.0,0.0,1.0,3.99,3.99,3.692,3.95,8974.0
2020-03-18,3.85,3.85,3.1855,3.1855,6862.0,0.0,1.0,3.85,3.85,3.1855,3.1855,6862.0
2020-03-19,3.01,3.43,2.83,3.0,12548.0,0.0,1.0,3.01,3.43,2.83,3.0,12548.0
2020-03-20,3.0,3.0,1.82,2.3441,227294.0,0.0,1.0,3.0,3.0,1.82,2.3441,227294.0
2020-03-23,2.4,2.49,2.0,2.1,33243.0,0.0,1.0,2.4,2.49,2.0,2.1,33243.0
2020-03-24,2.37,2.4,2.154,2.28,19586.0,0.0,1.0,2.37,2.4,2.154,2.28,19586.0
2020-03-25,2.1309,2.2867,2.1306,2.2,19876.0,0.0,1.0,2.1309,2.2867,2.1306,2.2,19876.0
2020-03-26,2.2,2.2,2.15,2.17,11958.0,0.0,1.0,2.2,2.2,2.15,2.17,11958.0
2020-03-27,2.16,2.165,2.11,2.14,15708.0,0.0,1.0,2.16,2.165,2.11,2.14,15708.0
2020-03-30,2.15,2.1595,2.1,2.13,30818.0,0.0,1.0,2.15,2.1595,2.1,2.13,30818.0
2020-03-31,2.14,2.16,2.1,2.1,6336.0,0.0,1.0,2.14,2.16,2.1,2.1,6336.0
2020-04-01,2.15,2.49,2.15,2.39,12195.0,0.0,1.0,2.15,2.49,2.15,2.39,12195.0
2020-04-02,2.2826,2.5499,2.01,2.21,30124.0,0.0,1.0,2.2826,2.5499,2.01,2.21,30124.0
2020-04-03,2.02,2.16,2.02,2.16,2541.0,0.0,1.0,2.02,2.16,2.02,2.16,2541.0
