Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,2.12,2.12,2.0,2.0098,1000.0,0.0,1.0,2.12,2.12,2.0,2.0098,1000.0
2020-01-03,1.95,1.9559,1.85,1.85,1551.0,0.0,1.0,1.95,1.9559,1.85,1.85,1551.0
2020-01-06,1.9,1.9,1.9,1.9,272.0,0.0,1.0,1.9,1.9,1.9,1.9,272.0
2020-01-07,1.87,1.87,1.83,1.83,6300.0,0.0,1.0,1.87,1.87,1.83,1.83,6300.0
2020-01-08,1.87,1.87,1.78,1.78,838.0,0.0,1.0,1.87,1.87,1.78,1.78,838.0
2020-01-09,1.83,1.83,1.83,1.83,200.0,0.0,1.0,1.83,1.83,1.83,1.83,200.0
2020-01-10,1.78,1.82,1.77,1.82,2195.0,0.0,1.0,1.78,1.82,1.77,1.82,2195.0
2020-01-13,1.82,1.82,1.82,1.82,61.0,0.0,1.0,1.82,1.82,1.82,1.82,61.0
2020-01-14,1.79,1.79,1.79,1.79,243.0,0.0,1.0,1.79,1.79,1.79,1.79,243.0
2020-01-15,1.84,1.98,1.84,1.98,744.0,0.0,1.0,1.84,1.98,1.84,1.98,744.0
2020-01-16,1.984,1.984,1.9411,1.9411,643.0,0.0,1.0,1.984,1.984,1.9411,1.9411,643.0
2020-01-17,1.9411,1.9411,1.9411,1.9411,0.0,0.0,1.0,1.9411,1.9411,1.9411,1.9411,0.0
2020-01-21,1.9411,1.9411,1.9411,1.9411,0.0,0.0,1.0,1.9411,1.9411,1.9411,1.9411,0.0
2020-01-22,1.9411,1.9411,1.9411,1.9411,0.0,0.0,1.0,1.9411,1.9411,1.9411,1.9411,0.0
2020-01-23,1.9411,1.9411,1.9411,1.9411,0.0,0.0,1.0,1.9411,1.9411,1.9411,1.9411,0.0
2020-01-24,1.89,1.89,1.89,1.89,100.0,0.0,1.0,1.89,1.89,1.89,1.89,100.0
2020-01-27,1.89,1.89,1.89,1.89,0.0,0.0,1.0,1.89,1.89,1.89,1.89,0.0
2020-01-28,1.88,1.88,1.88,1.88,100.0,0.0,1.0,1.88,1.88,1.88,1.88,100.0
2020-01-29,1.88,1.88,1.88,1.88,0.0,0.0,1.0,1.88,1.88,1.88,1.88,0.0
2020-01-30,1.84,1.8842,1.84,1.8842,766.0,0.0,1.0,1.84,1.8842,1.84,1.8842,766.0
2020-01-31,1.83,1.83,1.8,1.8,222.0,0.0,1.0,1.83,1.83,1.8,1.8,222.0
2020-02-03,1.78,1.78,1.78,1.78,2434.0,0.0,1.0,1.78,1.78,1.78,1.78,2434.0
2020-02-04,1.78,1.78,1.74,1.7412,10851.0,0.0,1.0,1.78,1.78,1.74,1.7412,10851.0
2020-02-05,1.69,1.69,1.69,1.69,200.0,0.0,1.0,1.69,1.69,1.69,1.69,200.0
2020-02-06,1.64,1.64,1.588,1.588,2217.0,0.0,1.0,1.64,1.64,1.588,1.588,2217.0
2020-02-07,1.6,1.6,1.3767,1.3767,8830.0,0.0,1.0,1.6,1.6,1.3767,1.3767,8830.0
2020-02-10,1.42,1.45,1.42,1.45,874.0,0.0,1.0,1.42,1.45,1.42,1.45,874.0
2020-02-11,1.41,1.41,1.4,1.41,600.0,0.0,1.0,1.41,1.41,1.4,1.41,600.0
2020-02-12,1.37,1.37,1.3,1.35,2638.0,0.0,1.0,1.37,1.37,1.3,1.35,2638.0
2020-02-13,1.3,1.3,1.3,1.3,200.0,0.0,1.0,1.3,1.3,1.3,1.3,200.0
2020-02-14,1.34,1.56,1.34,1.56,4600.0,0.0,1.0,1.34,1.56,1.34,1.56,4600.0
2020-02-18,1.51,1.51,1.4698,1.4698,504.0,0.0,1.0,1.51,1.51,1.4698,1.4698,504.0
2020-02-19,1.42,1.42,1.3,1.3068,943.0,0.0,1.0,1.42,1.42,1.3,1.3068,943.0
2020-02-20,1.3068,1.3068,1.3068,1.3068,0.0,0.0,1.0,1.3068,1.3068,1.3068,1.3068,0.0
2020-02-21,1.3068,1.3068,1.3068,1.3068,0.0,0.0,1.0,1.3068,1.3068,1.3068,1.3068,0.0
2020-02-24,1.26,1.291,1.25,1.291,2701.0,0.0,1.0,1.26,1.291,1.25,1.291,2701.0
2020-02-25,1.34,1.34,1.34,1.34,500.0,0.0,1.0,1.34,1.34,1.34,1.34,500.0
2020-02-26,1.29,1.29,1.29,1.29,200.0,0.0,1.0,1.29,1.29,1.29,1.29,200.0
2020-02-27,1.24,1.24,1.02,1.23,3428.0,0.0,1.0,1.24,1.24,1.02,1.23,3428.0
2020-02-28,1.0,1.3,0.97,1.26,13068.0,0.0,1.0,1.0,1.3,0.97,1.26,13068.0
2020-03-02,1.21,1.26,1.21,1.26,200.0,0.0,1.0,1.21,1.26,1.21,1.26,200.0
2020-03-03,1.26,1.26,1.26,1.26,0.0,0.0,1.0,1.26,1.26,1.26,1.26,0.0
2020-03-04,1.25,1.25,1.12,1.12,1568.0,0.0,1.0,1.25,1.25,1.12,1.12,1568.0
2020-03-05,1.12,1.12,1.12,1.12,99.0,0.0,1.0,1.12,1.12,1.12,1.12,99.0
2020-03-06,1.17,1.17,1.1,1.1,465.0,0.0,1.0,1.17,1.17,1.1,1.1,465.0
