Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,4.99,5.0095,4.7,4.71,29302.0,0.0,1.0,4.99,5.0095,4.7,4.71,29302.0
2020-01-03,4.53,4.68,4.36,4.44,44828.0,0.0,1.0,4.53,4.68,4.36,4.44,44828.0
2020-01-06,4.53,5.05,4.5063,4.63,87952.0,0.0,1.0,4.53,5.05,4.5063,4.63,87952.0
2020-01-07,4.93,5.12,4.81,5.04,87303.0,0.0,1.0,4.93,5.12,4.81,5.04,87303.0
2020-01-08,5.13,5.3,5.02,5.19,75210.0,0.0,1.0,5.13,5.3,5.02,5.19,75210.0
2020-01-09,5.28,5.3,5.02,5.09,27191.0,0.0,1.0,5.28,5.3,5.02,5.09,27191.0
2020-01-10,5.06,5.09,4.79,4.8,37553.0,0.0,1.0,5.06,5.09,4.79,4.8,37553.0
2020-01-13,4.73,4.77,4.27,4.47,113209.0,0.0,1.0,4.73,4.77,4.27,4.47,113209.0
2020-01-14,4.42,4.47,4.28,4.3,43232.0,0.0,1.0,4.42,4.47,4.28,4.3,43232.0
2020-01-15,4.27,4.53,4.27,4.33,20849.0,0.0,1.0,4.27,4.53,4.27,4.33,20849.0
2020-01-16,4.41,4.5162,4.3514,4.46,2489.0,0.0,1.0,4.41,4.5162,4.3514,4.46,2489.0
2020-01-17,4.51,4.51,4.18,4.2524,50504.0,0.0,1.0,4.51,4.51,4.18,4.2524,50504.0
2020-01-21,4.23,4.45,4.16,4.25,35462.0,0.0,1.0,4.23,4.45,4.16,4.25,35462.0
2020-01-22,4.16,4.32,4.15,4.25,16126.0,0.0,1.0,4.16,4.32,4.15,4.25,16126.0
2020-01-23,4.21,4.37,4.21,4.35,18655.0,0.0,1.0,4.21,4.37,4.21,4.35,18655.0
2020-01-24,4.37,4.4174,4.2502,4.31,14391.0,0.0,1.0,4.37,4.4174,4.2502,4.31,14391.0
2020-01-27,4.259,4.2713,4.21,4.21,13371.0,0.0,1.0,4.259,4.2713,4.21,4.21,13371.0
2020-01-28,4.2924,4.2924,4.15,4.1527,25227.0,0.0,1.0,4.2924,4.2924,4.15,4.1527,25227.0
2020-01-29,4.1855,4.1855,4.12,4.12,17835.0,0.0,1.0,4.1855,4.1855,4.12,4.12,17835.0
2020-01-30,4.15,4.16,4.15,4.15,3666.0,0.0,1.0,4.15,4.16,4.15,4.15,3666.0
2020-01-31,4.16,4.2692,4.0744,4.0744,10597.0,0.0,1.0,4.16,4.2692,4.0744,4.0744,10597.0
2020-02-03,4.11,4.11,3.75,3.85,70868.0,0.0,1.0,4.11,4.11,3.75,3.85,70868.0
2020-02-04,3.99,4.11,3.8811,4.1,12969.0,0.0,1.0,3.99,4.11,3.8811,4.1,12969.0
2020-02-05,4.08,4.1,3.92,3.92,7658.0,0.0,1.0,4.08,4.1,3.92,3.92,7658.0
2020-02-06,3.9368,3.95,3.91,3.95,1293.0,0.0,1.0,3.9368,3.95,3.91,3.95,1293.0
2020-02-07,3.86,3.91,3.78,3.79,14607.0,0.0,1.0,3.86,3.91,3.78,3.79,14607.0
2020-02-10,3.78,3.909,3.78,3.81,3813.0,0.0,1.0,3.78,3.909,3.78,3.81,3813.0
2020-02-11,3.922,3.97,3.8493,3.95,8101.0,0.0,1.0,3.922,3.97,3.8493,3.95,8101.0
2020-02-12,3.9,4.0,3.86,3.86,26110.0,0.0,1.0,3.9,4.0,3.86,3.86,26110.0
2020-02-13,3.89,3.93,3.8201,3.87,4132.0,0.0,1.0,3.89,3.93,3.8201,3.87,4132.0
2020-02-14,3.876,3.94,3.876,3.92,14346.0,0.0,1.0,3.876,3.94,3.876,3.92,14346.0
2020-02-18,3.86,3.87,3.81,3.81,17696.0,0.0,1.0,3.86,3.87,3.81,3.81,17696.0
2020-02-19,3.82,3.89,3.8,3.82,12541.0,0.0,1.0,3.82,3.89,3.8,3.82,12541.0
2020-02-20,3.76,3.8098,3.76,3.79,4653.0,0.0,1.0,3.76,3.8098,3.76,3.79,4653.0
2020-02-21,3.82,3.8499,3.75,3.8,11007.0,0.0,1.0,3.82,3.8499,3.75,3.8,11007.0
2020-02-24,3.75,3.79,3.6008,3.65,22013.0,0.0,1.0,3.75,3.79,3.6008,3.65,22013.0
