Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-11-20,1.08,1.45,1.08,1.4,3300.0,0.0,1.0,1.08,1.45,1.08,1.4,3300.0
2020-11-23,1.84,2.22,1.84,1.98,81069.0,0.0,1.0,1.84,2.22,1.84,1.98,81069.0
2020-11-24,2.04,2.04,1.12,1.85,22671.0,0.0,1.0,2.04,2.04,1.12,1.85,22671.0
2020-11-25,1.85,2.0,1.85,2.0,6970.0,0.0,1.0,1.85,2.0,1.85,2.0,6970.0
2020-11-27,2.1,2.1,1.75,1.75,4332.0,0.0,1.0,2.1,2.1,1.75,1.75,4332.0
2020-11-30,1.7,1.88,1.7,1.88,5368.0,0.0,1.0,1.7,1.88,1.7,1.88,5368.0
2020-12-01,1.98,2.0,1.7,1.88,103858.0,0.0,1.0,1.98,2.0,1.7,1.88,103858.0
2020-12-02,1.8,1.8,1.7,1.7,18835.0,0.0,1.0,1.8,1.8,1.7,1.7,18835.0
2020-12-03,1.7,1.75,1.6498,1.75,44374.0,0.0,1.0,1.7,1.75,1.6498,1.75,44374.0
2020-12-04,1.66,1.75,1.57,1.75,20063.0,0.0,1.0,1.66,1.75,1.57,1.75,20063.0
2020-12-07,1.7501,1.85,1.66,1.79,526243.0,0.0,1.0,1.7501,1.85,1.66,1.79,526243.0
2020-12-08,1.9,1.99,1.65,1.65,71982.0,0.0,1.0,1.9,1.99,1.65,1.65,71982.0
2020-12-09,1.71,1.9798,1.6,1.85,57545.0,0.0,1.0,1.71,1.9798,1.6,1.85,57545.0
2020-12-10,1.94,1.98,1.85,1.94,128555.0,0.0,1.0,1.94,1.98,1.85,1.94,128555.0
2020-12-11,1.85,2.04,1.85,1.9,52478.0,0.0,1.0,1.85,2.04,1.85,1.9,52478.0
2020-12-14,1.9,1.9498,1.88,1.8801,14552.0,0.0,1.0,1.9,1.9498,1.88,1.8801,14552.0
2020-12-15,1.85,1.85,1.64,1.68,107120.0,0.0,1.0,1.85,1.85,1.64,1.68,107120.0
2020-12-16,1.78,1.78,1.77,1.77,436.0,0.0,1.0,1.78,1.78,1.77,1.77,436.0
2020-12-17,1.75,1.85,1.75,1.75,22609.0,0.0,1.0,1.75,1.85,1.75,1.75,22609.0
2020-12-18,1.83,1.83,1.755,1.76,5472.0,0.0,1.0,1.83,1.83,1.755,1.76,5472.0
2020-12-21,1.7547,1.89,1.7547,1.79,55587.0,0.0,1.0,1.7547,1.89,1.7547,1.79,55587.0
2020-12-22,1.88,1.9,1.77,1.8,34618.0,0.0,1.0,1.88,1.9,1.77,1.8,34618.0
2020-12-23,1.85,1.99,1.57,1.88,94305.0,0.0,1.0,1.85,1.99,1.57,1.88,94305.0
2020-12-24,1.88,2.02,1.78,1.8,221766.0,0.0,1.0,1.88,2.02,1.78,1.8,221766.0
2020-12-28,1.9109,2.04,1.81,1.85,59819.0,0.0,1.0,1.9109,2.04,1.81,1.85,59819.0
2020-12-29,1.9399,2.0,1.81,1.82,54027.0,0.0,1.0,1.9399,2.0,1.81,1.82,54027.0
2020-12-30,1.8,1.92,1.8,1.88,59350.0,0.0,1.0,1.8,1.92,1.8,1.88,59350.0
2020-12-31,1.95,2.06,1.88,2.06,86652.0,0.0,1.0,1.95,2.06,1.88,2.06,86652.0
