Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,5.87,5.919,5.8334,5.86,159936.0,0.0,1.0,5.87,5.919,5.8334,5.86,159936.0
2020-01-03,5.82,5.8342,5.79,5.81,120640.0,0.0,1.0,5.82,5.8342,5.79,5.81,120640.0
2020-01-06,5.81,5.81,5.735,5.79,106105.0,0.0,1.0,5.81,5.81,5.735,5.79,106105.0
2020-01-07,5.73,5.78,5.73,5.78,89224.0,0.0,1.0,5.73,5.78,5.73,5.78,89224.0
2020-01-08,5.76,5.82,5.7448,5.8,71882.0,0.0,1.0,5.76,5.82,5.7448,5.8,71882.0
2020-01-09,5.82,5.9,5.82,5.89,85402.0,0.0,1.0,5.82,5.9,5.82,5.89,85402.0
2020-01-10,5.89,5.92,5.82,5.89,105737.0,0.0,1.0,5.89,5.92,5.82,5.89,105737.0
2020-01-13,5.87,5.8805,5.84,5.86,97949.0,0.0,1.0,5.87,5.8805,5.84,5.86,97949.0
2020-01-14,5.86,5.955,5.86,5.91,225072.0,0.0,1.0,5.86,5.955,5.86,5.91,225072.0
2020-01-15,5.91,5.99,5.91,5.94,156669.0,0.0,1.0,5.91,5.99,5.91,5.94,156669.0
2020-01-16,5.94,5.94,5.8268,5.86,79417.0,0.0,1.0,5.94,5.94,5.8268,5.86,79417.0
2020-01-17,5.88,5.93,5.87,5.91,65982.0,0.0,1.0,5.88,5.93,5.87,5.91,65982.0
2020-01-21,5.95,6.01,5.9334,6.01,221451.0,0.0,1.0,5.95,6.01,5.9334,6.01,221451.0
2020-01-22,6.06,6.09,5.95,5.96,277455.0,0.0,1.0,6.06,6.09,5.95,5.96,277455.0
2020-01-23,6.0,6.0077,5.955,5.98,82729.0,0.0,1.0,6.0,6.0077,5.955,5.98,82729.0
2020-01-24,5.96,5.96,5.89,5.91,174499.0,0.0,1.0,5.96,5.96,5.89,5.91,174499.0
2020-01-27,5.8,5.92,5.8,5.91,149824.0,0.0,1.0,5.8,5.92,5.8,5.91,149824.0
2020-01-28,5.86,5.9,5.84,5.86,86342.0,0.0,1.0,5.86,5.9,5.84,5.86,86342.0
2020-01-29,5.81,5.83,5.78,5.79,188746.0,0.0,1.0,5.81,5.83,5.78,5.79,188746.0
2020-01-30,5.75,5.7844,5.7001,5.77,94925.0,0.0,1.0,5.75,5.7844,5.7001,5.77,94925.0
2020-01-31,5.76,5.7836,5.72,5.72,46178.0,0.0,1.0,5.76,5.7836,5.72,5.72,46178.0
2020-02-03,5.67,5.75,5.66,5.71,102736.0,0.0,1.0,5.67,5.75,5.66,5.71,102736.0
2020-02-04,5.78,5.79,5.73,5.74,54700.0,0.0,1.0,5.78,5.79,5.73,5.74,54700.0
2020-02-05,5.75,5.79,5.74,5.76,30385.0,0.0,1.0,5.75,5.79,5.74,5.76,30385.0
2020-02-06,5.77,5.77,5.72,5.72,18313.0,0.0,1.0,5.77,5.77,5.72,5.72,18313.0
2020-02-07,5.73,5.78,5.72,5.76,145734.0,0.0,1.0,5.73,5.78,5.72,5.76,145734.0
2020-02-10,5.77,5.79,5.7,5.7,74903.0,0.0,1.0,5.77,5.79,5.7,5.7,74903.0
2020-02-11,5.69,5.7198,5.62,5.62,104384.0,0.0,1.0,5.69,5.7198,5.62,5.62,104384.0
2020-02-12,5.62,5.69,5.62,5.68,28024.0,0.0,1.0,5.62,5.69,5.62,5.68,28024.0
2020-02-13,5.67,5.67,5.615,5.64,25799.0,0.0,1.0,5.67,5.67,5.615,5.64,25799.0
2020-02-14,5.66,5.675,5.61,5.62,98091.0,0.0,1.0,5.66,5.675,5.61,5.62,98091.0
2020-02-18,5.8,5.87,5.7,5.84,589285.0,0.0,1.0,5.8,5.87,5.7,5.84,589285.0
2020-02-19,5.8,5.83,5.71,5.82,210958.0,0.0,1.0,5.8,5.83,5.71,5.82,210958.0
2020-02-20,5.82,5.82,5.77,5.79,58470.0,0.0,1.0,5.82,5.82,5.77,5.79,58470.0
2020-02-21,5.82,5.88,5.725,5.74,310395.0,0.0,1.0,5.82,5.88,5.725,5.74,310395.0
2020-02-24,5.64,5.64,5.54,5.57,238006.0,0.0,1.0,5.64,5.64,5.54,5.57,238006.0
2020-02-25,5.53,5.58,5.49,5.57,168200.0,0.0,1.0,5.53,5.58,5.49,5.57,168200.0
2020-02-26,5.56,5.59,5.53,5.54,322458.0,0.0,1.0,5.56,5.59,5.53,5.54,322458.0
2020-02-27,5.51,5.51,5.45,5.45,247181.0,0.0,1.0,5.51,5.51,5.45,5.45,247181.0
2020-02-28,5.4,5.47,5.32,5.43,151812.0,0.0,1.0,5.4,5.47,5.32,5.43,151812.0
2020-03-02,5.43,5.45,5.36,5.43,117336.0,0.0,1.0,5.43,5.45,5.36,5.43,117336.0
2020-03-03,5.41,5.52,5.41,5.48,39967.0,0.0,1.0,5.41,5.52,5.41,5.48,39967.0
2020-03-04,5.44,5.44,5.37,5.39,44143.0,0.0,1.0,5.44,5.44,5.37,5.39,44143.0
2020-03-05,5.37,5.42,5.35,5.39,44557.0,0.0,1.0,5.37,5.42,5.35,5.39,44557.0
2020-03-06,5.35,5.38,5.31,5.32,37644.0,0.0,1.0,5.35,5.38,5.31,5.32,37644.0
2020-03-09,5.29,5.42,5.27,5.4,118251.0,0.0,1.0,5.29,5.42,5.27,5.4,118251.0
2020-03-10,5.42,5.43,5.35,5.41,42483.0,0.0,1.0,5.42,5.43,5.35,5.41,42483.0
2020-03-11,5.36,5.3844,5.3,5.33,72460.0,0.0,1.0,5.36,5.3844,5.3,5.33,72460.0
2020-03-12,5.18,5.288,5.17,5.23,88554.0,0.0,1.0,5.18,5.288,5.17,5.23,88554.0
2020-03-13,5.25,5.2915,5.21,5.26,128233.0,0.0,1.0,5.25,5.2915,5.21,5.26,128233.0
2020-03-16,5.1,5.19,4.91,5.17,234049.0,0.0,1.0,5.1,5.19,4.91,5.17,234049.0
2020-03-17,5.17,5.24,5.14,5.15,125307.0,0.0,1.0,5.17,5.24,5.14,5.15,125307.0
2020-03-18,5.06,5.28,5.06,5.26,190815.0,0.0,1.0,5.06,5.28,5.06,5.26,190815.0
2020-03-19,5.32,5.55,5.32,5.5,189310.0,0.0,1.0,5.32,5.55,5.32,5.5,189310.0
2020-03-20,5.69,5.69,5.485,5.5,89932.0,0.0,1.0,5.69,5.69,5.485,5.5,89932.0
2020-03-23,5.65,5.7,5.602,5.68,146954.0,0.0,1.0,5.65,5.7,5.602,5.68,146954.0
2020-03-24,5.65,5.68,5.55,5.68,107111.0,0.0,1.0,5.65,5.68,5.55,5.68,107111.0
2020-03-25,5.68,5.85,5.66,5.78,185267.0,0.0,1.0,5.68,5.85,5.66,5.78,185267.0
2020-03-26,5.8,5.84,5.65,5.71,192575.0,0.0,1.0,5.8,5.84,5.65,5.71,192575.0
2020-03-27,5.66,5.83,5.66,5.7,120720.0,0.0,1.0,5.66,5.83,5.66,5.7,120720.0
2020-03-30,5.78,5.8,5.68,5.69,239640.0,0.0,1.0,5.78,5.8,5.68,5.69,239640.0
2020-03-31,5.67,5.81,5.67,5.8,146768.0,0.0,1.0,5.67,5.81,5.67,5.8,146768.0
2020-04-01,5.76,5.8,5.6,5.62,129448.0,0.0,1.0,5.76,5.8,5.6,5.62,129448.0
2020-04-02,5.5,5.61,5.5,5.56,167121.0,0.0,1.0,5.5,5.61,5.5,5.56,167121.0
2020-04-03,5.64,5.6593,5.57,5.6,145794.0,0.0,1.0,5.64,5.6593,5.57,5.6,145794.0
2020-04-06,5.69,5.7,5.65,5.67,189158.0,0.0,1.0,5.69,5.7,5.65,5.67,189158.0
2020-04-07,5.65,5.65,5.58,5.62,147924.0,0.0,1.0,5.65,5.65,5.58,5.62,147924.0
2020-04-08,5.65,5.6766,5.58,5.63,156180.0,0.0,1.0,5.65,5.6766,5.58,5.63,156180.0
2020-04-09,5.71,5.74,5.67,5.72,192970.0,0.0,1.0,5.71,5.74,5.67,5.72,192970.0
2020-04-13,5.75,5.79,5.71,5.77,161422.0,0.0,1.0,5.75,5.79,5.71,5.77,161422.0
2020-04-14,5.77,5.77,5.65,5.68,270575.0,0.0,1.0,5.77,5.77,5.65,5.68,270575.0
2020-04-15,5.6,5.6,5.5,5.58,169040.0,0.0,1.0,5.6,5.6,5.5,5.58,169040.0
2020-04-16,5.58,5.58,5.48,5.49,129039.0,0.0,1.0,5.58,5.58,5.48,5.49,129039.0
2020-04-17,5.49,5.52,5.4002,5.5053,105482.0,0.0,1.0,5.49,5.52,5.4002,5.5053,105482.0
2020-04-20,5.68,5.75,5.56,5.6,268014.0,0.0,1.0,5.68,5.75,5.56,5.6,268014.0
2020-04-21,5.53,5.645,5.53,5.59,113423.0,0.0,1.0,5.53,5.645,5.53,5.59,113423.0
2020-04-22,5.61,5.61,5.55,5.55,76128.0,0.0,1.0,5.61,5.61,5.55,5.55,76128.0
2020-04-23,5.68,5.68,5.5401,5.58,90444.0,0.0,1.0,5.68,5.68,5.5401,5.58,90444.0
2020-04-24,5.6,5.6,5.42,5.46,123643.0,0.0,1.0,5.6,5.6,5.42,5.46,123643.0
2020-04-27,5.38,5.44,5.34,5.36,122253.0,0.0,1.0,5.38,5.44,5.34,5.36,122253.0
2020-04-28,5.46,5.46,5.37,5.41,55345.0,0.0,1.0,5.46,5.46,5.37,5.41,55345.0
2020-04-29,5.4,5.4,5.22,5.3,181285.0,0.0,1.0,5.4,5.4,5.22,5.3,181285.0
2020-04-30,5.25,5.39,5.23,5.36,116913.0,0.0,1.0,5.25,5.39,5.23,5.36,116913.0
2020-05-01,5.35,5.36,5.26,5.31,90393.0,0.0,1.0,5.35,5.36,5.26,5.31,90393.0
2020-05-04,5.31,5.32,5.21,5.31,169472.0,0.0,1.0,5.31,5.32,5.21,5.31,169472.0
2020-05-05,5.34,5.3479,5.28,5.3479,99028.0,0.0,1.0,5.34,5.3479,5.28,5.3479,99028.0
2020-05-06,5.34,5.34,5.26,5.27,42849.0,0.0,1.0,5.34,5.34,5.26,5.27,42849.0
2020-05-07,5.33,5.38,5.31,5.34,153395.0,0.0,1.0,5.33,5.38,5.31,5.34,153395.0
2020-05-08,5.31,5.3778,5.31,5.37,60480.0,0.0,1.0,5.31,5.3778,5.31,5.37,60480.0
2020-05-11,5.36,5.37,5.29,5.29,70485.0,0.0,1.0,5.36,5.37,5.29,5.29,70485.0
2020-05-12,5.3,5.3055,5.23,5.26,73268.0,0.0,1.0,5.3,5.3055,5.23,5.26,73268.0
2020-05-13,5.22,5.238,5.16,5.16,124785.0,0.0,1.0,5.22,5.238,5.16,5.16,124785.0
2020-05-14,5.15,5.2,5.11,5.19,53988.0,0.0,1.0,5.15,5.2,5.11,5.19,53988.0
