Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,3.09,3.1357,2.875,2.95,61860.0,0.0,1.0,3.09,3.1357,2.875,2.95,61860.0
2020-01-03,2.86,2.88,2.85,2.86,17109.0,0.0,1.0,2.86,2.88,2.85,2.86,17109.0
2020-01-06,2.86,2.87,2.35,2.6695,60870.0,0.0,1.0,2.86,2.87,2.35,2.6695,60870.0
2020-01-07,2.55,2.66,2.51,2.53,22440.0,0.0,1.0,2.55,2.66,2.51,2.53,22440.0
2020-01-08,2.52,2.5751,2.5,2.53,26549.0,0.0,1.0,2.52,2.5751,2.5,2.53,26549.0
2020-01-09,2.55,2.94,2.4815,2.82,76304.0,0.0,1.0,2.55,2.94,2.4815,2.82,76304.0
2020-01-10,2.83,2.8307,2.7,2.72,24317.0,0.0,1.0,2.83,2.8307,2.7,2.72,24317.0
2020-01-13,2.73,2.92,2.73,2.78,41187.0,0.0,1.0,2.73,2.92,2.73,2.78,41187.0
2020-01-14,2.7241,2.78,2.64,2.68,28782.0,0.0,1.0,2.7241,2.78,2.64,2.68,28782.0
2020-01-15,2.65,2.85,2.57,2.81,37388.0,0.0,1.0,2.65,2.85,2.57,2.81,37388.0
2020-01-16,2.8,2.8,2.69,2.74,50162.0,0.0,1.0,2.8,2.8,2.69,2.74,50162.0
2020-01-17,2.71,2.77,2.61,2.77,64631.0,0.0,1.0,2.71,2.77,2.61,2.77,64631.0
2020-01-21,2.79,2.79,2.55,2.55,55256.0,0.0,1.0,2.79,2.79,2.55,2.55,55256.0
2020-01-22,2.56,2.73,2.5,2.73,66619.0,0.0,1.0,2.56,2.73,2.5,2.73,66619.0
2020-01-23,2.55,2.66,2.54,2.66,84045.0,0.0,1.0,2.55,2.66,2.54,2.66,84045.0
2020-01-24,2.65,2.6794,2.47,2.55,70714.0,0.0,1.0,2.65,2.6794,2.47,2.55,70714.0
2020-01-27,2.5,2.5,2.3419,2.38,66120.0,0.0,1.0,2.5,2.5,2.3419,2.38,66120.0
2020-01-28,2.45,2.45,2.25,2.42,67262.0,0.0,1.0,2.45,2.45,2.25,2.42,67262.0
2020-01-29,2.4,2.42,2.23,2.23,64662.0,0.0,1.0,2.4,2.42,2.23,2.23,64662.0
2020-01-30,2.34,2.34,2.21,2.29,62652.0,0.0,1.0,2.34,2.34,2.21,2.29,62652.0
2020-01-31,2.2337,2.44,2.23,2.44,71220.0,0.0,1.0,2.2337,2.44,2.23,2.44,71220.0
2020-02-03,2.52,2.52,2.3427,2.46,70146.0,0.0,1.0,2.52,2.52,2.3427,2.46,70146.0
2020-02-04,2.47,2.47,2.2,2.3,97497.0,0.0,1.0,2.47,2.47,2.2,2.3,97497.0
2020-02-05,2.3,2.41,2.26,2.26,63629.0,0.0,1.0,2.3,2.41,2.26,2.26,63629.0
2020-02-06,2.26,2.3,2.24,2.28,63488.0,0.0,1.0,2.26,2.3,2.24,2.28,63488.0
2020-02-07,2.25,2.278,2.24,2.25,64034.0,0.0,1.0,2.25,2.278,2.24,2.25,64034.0
2020-02-10,2.3,2.3,2.1712,2.24,90595.0,0.0,1.0,2.3,2.3,2.1712,2.24,90595.0
2020-02-11,2.19,2.24,2.15,2.18,93593.0,0.0,1.0,2.19,2.24,2.15,2.18,93593.0
2020-02-12,2.18,2.19,2.13,2.19,103520.0,0.0,1.0,2.18,2.19,2.13,2.19,103520.0
2020-02-13,2.11,2.3,2.11,2.29,104243.0,0.0,1.0,2.11,2.3,2.11,2.29,104243.0
2020-02-14,2.26,2.37,2.23,2.37,114585.0,0.0,1.0,2.26,2.37,2.23,2.37,114585.0
2020-02-18,2.35,2.58,2.11,2.58,160162.0,0.0,1.0,2.35,2.58,2.11,2.58,160162.0
2020-02-19,2.44,2.76,2.4,2.58,110198.0,0.0,1.0,2.44,2.76,2.4,2.58,110198.0
2020-02-20,2.5,2.65,2.38,2.4893,105344.0,0.0,1.0,2.5,2.65,2.38,2.4893,105344.0
2020-02-21,2.43,2.5,2.32,2.46,104363.0,0.0,1.0,2.43,2.5,2.32,2.46,104363.0
2020-02-24,2.3,2.43,2.28,2.28,103260.0,0.0,1.0,2.3,2.43,2.28,2.28,103260.0
2020-02-25,2.3,2.35,2.15,2.18,64471.0,0.0,1.0,2.3,2.35,2.15,2.18,64471.0
2020-02-26,2.15,2.2226,2.1473,2.2,62822.0,0.0,1.0,2.15,2.2226,2.1473,2.2,62822.0
2020-02-27,2.2,2.3,2.0754,2.08,89147.0,0.0,1.0,2.2,2.3,2.0754,2.08,89147.0
2020-02-28,2.0535,2.06,1.96,2.04,97477.0,0.0,1.0,2.0535,2.06,1.96,2.04,97477.0
2020-03-02,1.98,2.1903,1.98,2.06,95414.0,0.0,1.0,1.98,2.1903,1.98,2.06,95414.0
2020-03-03,2.1,2.18,2.05,2.05,90585.0,0.0,1.0,2.1,2.18,2.05,2.05,90585.0
2020-03-04,2.07,2.12,2.03,2.06,102927.0,0.0,1.0,2.07,2.12,2.03,2.06,102927.0
2020-03-05,1.98,2.03,1.94,1.96,89076.0,0.0,1.0,1.98,2.03,1.94,1.96,89076.0
2020-03-06,1.96,1.96,1.67,1.67,88926.0,0.0,1.0,1.96,1.96,1.67,1.67,88926.0
2020-03-09,1.67,1.67,1.38,1.52,78609.0,0.0,1.0,1.67,1.67,1.38,1.52,78609.0
2020-03-10,1.455,1.5,1.4073,1.46,75582.0,0.0,1.0,1.455,1.5,1.4073,1.46,75582.0
