Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,2.4,2.45,2.39,2.43,369488.0,0.0,1.0,2.4,2.45,2.39,2.43,369488.0
2020-01-03,2.4,2.54,2.4,2.43,648042.0,0.0,1.0,2.4,2.54,2.4,2.43,648042.0
2020-01-06,2.42,2.52,2.4,2.505,415795.0,0.0,1.0,2.42,2.52,2.4,2.505,415795.0
2020-01-07,2.5,2.58,2.46,2.56,357055.0,0.0,1.0,2.5,2.58,2.46,2.56,357055.0
2020-01-08,2.54,2.64,2.54,2.62,449611.0,0.0,1.0,2.54,2.64,2.54,2.62,449611.0
2020-01-09,2.65,2.6795,2.6,2.67,352957.0,0.0,1.0,2.65,2.6795,2.6,2.67,352957.0
2020-01-10,2.67,2.84,2.67,2.74,1173546.0,0.0,1.0,2.67,2.84,2.67,2.74,1173546.0
2020-01-13,2.76,2.86,2.67,2.77,943841.0,0.0,1.0,2.76,2.86,2.67,2.77,943841.0
2020-01-14,2.76,2.78,2.68,2.7,335626.0,0.0,1.0,2.76,2.78,2.68,2.7,335626.0
2020-01-15,2.74,2.74,2.6725,2.73,294469.0,0.0,1.0,2.74,2.74,2.6725,2.73,294469.0
2020-01-16,2.73,2.79,2.73,2.75,362194.0,0.0,1.0,2.73,2.79,2.73,2.75,362194.0
2020-01-17,2.75,2.77,2.69,2.7,276561.0,0.0,1.0,2.75,2.77,2.69,2.7,276561.0
2020-01-21,2.65,2.69,2.57,2.58,441284.0,0.0,1.0,2.65,2.69,2.57,2.58,441284.0
2020-01-22,2.58,2.6,2.48,2.52,497276.0,0.0,1.0,2.58,2.6,2.48,2.52,497276.0
2020-01-23,2.49,2.58,2.43,2.48,840745.0,0.0,1.0,2.49,2.58,2.43,2.48,840745.0
2020-01-24,2.47,2.55,2.451,2.54,263242.0,0.0,1.0,2.47,2.55,2.451,2.54,263242.0
2020-01-27,2.5,2.58,2.4509,2.57,345758.0,0.0,1.0,2.5,2.58,2.4509,2.57,345758.0
2020-01-28,2.56,2.59,2.5,2.53,516145.0,0.0,1.0,2.56,2.59,2.5,2.53,516145.0
2020-01-29,2.53,2.73,2.495,2.7,804303.0,0.0,1.0,2.53,2.73,2.495,2.7,804303.0
2020-01-30,2.7,2.72,2.5342,2.67,566545.0,0.0,1.0,2.7,2.72,2.5342,2.67,566545.0
2020-01-31,2.66,2.67,2.56,2.57,463245.0,0.0,1.0,2.66,2.67,2.56,2.57,463245.0
2020-02-03,2.6,2.71,2.5727,2.64,477505.0,0.0,1.0,2.6,2.71,2.5727,2.64,477505.0
2020-02-04,2.64,2.67,2.62,2.63,250397.0,0.0,1.0,2.64,2.67,2.62,2.63,250397.0
2020-02-05,2.66,2.6923,2.61,2.62,213832.0,0.0,1.0,2.66,2.6923,2.61,2.62,213832.0
2020-02-06,2.63,2.68,2.58,2.6,249716.0,0.0,1.0,2.63,2.68,2.58,2.6,249716.0
2020-02-07,2.6,2.6,2.5,2.51,285069.0,0.0,1.0,2.6,2.6,2.5,2.51,285069.0
2020-02-10,2.5,2.5102,2.43,2.44,304131.0,0.0,1.0,2.5,2.5102,2.43,2.44,304131.0
2020-02-11,2.45,2.5,2.38,2.46,282713.0,0.0,1.0,2.45,2.5,2.38,2.46,282713.0
2020-02-12,2.43,2.55,2.41,2.53,495871.0,0.0,1.0,2.43,2.55,2.41,2.53,495871.0
2020-02-13,2.48,2.51,2.41,2.45,289653.0,0.0,1.0,2.48,2.51,2.41,2.45,289653.0
2020-02-14,2.45,2.55,2.43,2.48,233277.0,0.0,1.0,2.45,2.55,2.43,2.48,233277.0
2020-02-18,2.44,2.5,2.44,2.46,193991.0,0.0,1.0,2.44,2.5,2.44,2.46,193991.0
2020-02-19,2.45,2.54,2.43,2.53,366555.0,0.0,1.0,2.45,2.54,2.43,2.53,366555.0
2020-02-20,2.53,2.615,2.51,2.59,398273.0,0.0,1.0,2.53,2.615,2.51,2.59,398273.0
2020-02-21,2.56,2.58,2.45,2.45,359449.0,0.0,1.0,2.56,2.58,2.45,2.45,359449.0
2020-02-24,2.4,2.4418,2.28,2.3,585210.0,0.0,1.0,2.4,2.4418,2.28,2.3,585210.0
