Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,0.85,0.8568,0.81,0.821841,80554.0,0.0,1.0,0.85,0.8568,0.81,0.821841,80554.0
2020-01-03,0.82,0.84,0.82,0.8221,77544.0,0.0,1.0,0.82,0.84,0.82,0.8221,77544.0
2020-01-06,0.85,0.8598,0.827,0.8555,159859.0,0.0,1.0,0.85,0.8598,0.827,0.8555,159859.0
2020-01-07,0.86,0.867038,0.83905,0.8602,131361.0,0.0,1.0,0.86,0.867038,0.83905,0.8602,131361.0
2020-01-08,0.86,0.865,0.839,0.8526,276104.0,0.0,1.0,0.86,0.865,0.839,0.8526,276104.0
2020-01-09,0.84,0.8566,0.81,0.8323,139200.0,0.0,1.0,0.84,0.8566,0.81,0.8323,139200.0
2020-01-10,0.82,0.855,0.81,0.8363,71230.0,0.0,1.0,0.82,0.855,0.81,0.8363,71230.0
2020-01-13,0.81,0.8498,0.81,0.8178,79760.0,0.0,1.0,0.81,0.8498,0.81,0.8178,79760.0
2020-01-14,0.8102,0.8102,0.7786,0.7852,189113.0,0.0,1.0,0.8102,0.8102,0.7786,0.7852,189113.0
2020-01-15,0.8,0.812287,0.7823,0.8048,85630.0,0.0,1.0,0.8,0.812287,0.7823,0.8048,85630.0
2020-01-16,0.8,0.8002,0.73,0.7405,306452.0,0.0,1.0,0.8,0.8002,0.73,0.7405,306452.0
2020-01-17,0.75,0.7664,0.731,0.7425,124070.0,0.0,1.0,0.75,0.7664,0.731,0.7425,124070.0
2020-01-21,0.75,0.7699,0.74,0.74,87645.0,0.0,1.0,0.75,0.7699,0.74,0.74,87645.0
2020-01-22,0.74,0.74,0.72,0.7255,109678.0,0.0,1.0,0.74,0.74,0.72,0.7255,109678.0
2020-01-23,0.715,0.7247,0.6931,0.695,202106.0,0.0,1.0,0.715,0.7247,0.6931,0.695,202106.0
2020-01-24,0.7001,0.7108,0.696999,0.7108,288978.0,0.0,1.0,0.7001,0.7108,0.696999,0.7108,288978.0
2020-01-27,0.73,0.73,0.6412,0.664,224097.0,0.0,1.0,0.73,0.73,0.6412,0.664,224097.0
2020-01-28,0.656327,0.6899,0.6415,0.6848,53010.0,0.0,1.0,0.656327,0.6899,0.6415,0.6848,53010.0
2020-01-29,0.69,0.6983,0.6556,0.66,50390.0,0.0,1.0,0.69,0.6983,0.6556,0.66,50390.0
2020-01-30,0.69,0.69,0.6401,0.6661,54043.0,0.0,1.0,0.69,0.69,0.6401,0.6661,54043.0
2020-01-31,0.6801,0.6801,0.6401,0.679,41227.0,0.0,1.0,0.6801,0.6801,0.6401,0.679,41227.0
2020-02-03,0.6903,0.6903,0.6215,0.6406,66841.0,0.0,1.0,0.6903,0.6903,0.6215,0.6406,66841.0
2020-02-04,0.6307,0.6589,0.616251,0.6411,91996.0,0.0,1.0,0.6307,0.6589,0.616251,0.6411,91996.0
