Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,2.52,2.69,2.51,2.69,258016.0,0.0,1.0,2.52,2.69,2.51,2.69,258016.0
2020-01-03,2.63,2.77,2.5521,2.76,157641.0,0.0,1.0,2.63,2.77,2.5521,2.76,157641.0
2020-01-06,2.72,2.81,2.65,2.78,187073.0,0.0,1.0,2.72,2.81,2.65,2.78,187073.0
2020-01-07,2.78,3.36,2.78,3.32,915135.0,0.0,1.0,2.78,3.36,2.78,3.32,915135.0
2020-01-08,3.26,3.45,3.1,3.42,476358.0,0.0,1.0,3.26,3.45,3.1,3.42,476358.0
2020-01-09,3.43,3.53,3.28,3.43,459289.0,0.0,1.0,3.43,3.53,3.28,3.43,459289.0
2020-01-10,3.46,3.4763,3.28,3.43,192569.0,0.0,1.0,3.46,3.4763,3.28,3.43,192569.0
2020-01-13,3.41,3.49,3.34,3.42,143832.0,0.0,1.0,3.41,3.49,3.34,3.42,143832.0
2020-01-14,3.4,3.5,3.21,3.4,150954.0,0.0,1.0,3.4,3.5,3.21,3.4,150954.0
2020-01-15,3.4,3.53,3.29,3.33,170361.0,0.0,1.0,3.4,3.53,3.29,3.33,170361.0
2020-01-16,3.37,3.46,3.3,3.3,129977.0,0.0,1.0,3.37,3.46,3.3,3.3,129977.0
2020-01-17,3.3,3.35,3.07,3.14,258894.0,0.0,1.0,3.3,3.35,3.07,3.14,258894.0
2020-01-21,3.15,3.15,2.82,2.96,468806.0,0.0,1.0,3.15,3.15,2.82,2.96,468806.0
2020-01-22,2.96,3.07,2.96,3.0,193347.0,0.0,1.0,2.96,3.07,2.96,3.0,193347.0
2020-01-23,2.98,3.03,2.9246,3.02,86206.0,0.0,1.0,2.98,3.03,2.9246,3.02,86206.0
2020-01-24,3.0,3.04,2.75,2.84,273763.0,0.0,1.0,3.0,3.04,2.75,2.84,273763.0
2020-01-27,2.88,2.88,2.69,2.74,221954.0,0.0,1.0,2.88,2.88,2.69,2.74,221954.0
2020-01-28,2.75,2.82,2.7,2.76,107962.0,0.0,1.0,2.75,2.82,2.7,2.76,107962.0
2020-01-29,2.74,2.8,2.72,2.74,75823.0,0.0,1.0,2.74,2.8,2.72,2.74,75823.0
2020-01-30,2.81,2.86,2.69,2.7,90815.0,0.0,1.0,2.81,2.86,2.69,2.7,90815.0
2020-01-31,2.69,2.75,2.67,2.68,71090.0,0.0,1.0,2.69,2.75,2.67,2.68,71090.0
2020-02-03,2.71,2.84,2.69,2.77,198314.0,0.0,1.0,2.71,2.84,2.69,2.77,198314.0
2020-02-04,2.85,2.98,2.7667,2.81,162348.0,0.0,1.0,2.85,2.98,2.7667,2.81,162348.0
2020-02-05,2.92,2.92,2.78,2.8,216750.0,0.0,1.0,2.92,2.92,2.78,2.8,216750.0
2020-02-06,2.81,2.8999,2.76,2.77,73936.0,0.0,1.0,2.81,2.8999,2.76,2.77,73936.0
2020-02-07,2.75,2.8976,2.7,2.84,109883.0,0.0,1.0,2.75,2.8976,2.7,2.84,109883.0
2020-02-10,2.87,2.96,2.84,2.96,125135.0,0.0,1.0,2.87,2.96,2.84,2.96,125135.0
2020-02-11,2.97,2.9975,2.93,2.93,88992.0,0.0,1.0,2.97,2.9975,2.93,2.93,88992.0
2020-02-12,2.9,3.1,2.9,3.09,347164.0,0.0,1.0,2.9,3.1,2.9,3.09,347164.0
2020-02-13,3.06,3.12,2.91,3.1,106913.0,0.0,1.0,3.06,3.12,2.91,3.1,106913.0
2020-02-14,3.1,3.1,2.96,2.99,119787.0,0.0,1.0,3.1,3.1,2.96,2.99,119787.0
2020-02-18,3.5,4.35,3.33,4.35,3673525.0,0.0,1.0,3.5,4.35,3.33,4.35,3673525.0
2020-02-19,4.55,4.79,4.41,4.79,1893152.0,0.0,1.0,4.55,4.79,4.41,4.79,1893152.0
2020-02-20,4.61,4.85,4.0,4.74,975077.0,0.0,1.0,4.61,4.85,4.0,4.74,975077.0
2020-02-21,4.6,4.8,4.5,4.6,379806.0,0.0,1.0,4.6,4.8,4.5,4.6,379806.0
2020-02-24,4.5,4.55,4.23,4.3,349843.0,0.0,1.0,4.5,4.55,4.23,4.3,349843.0
2020-02-25,4.28,4.34,4.15,4.18,297889.0,0.0,1.0,4.28,4.34,4.15,4.18,297889.0
2020-02-26,4.16,4.25,4.05,4.15,170264.0,0.0,1.0,4.16,4.25,4.05,4.15,170264.0
2020-02-27,4.08,4.08,3.76,4.06,214148.0,0.0,1.0,4.08,4.08,3.76,4.06,214148.0
2020-02-28,3.93,4.0,3.58,3.74,504020.0,0.0,1.0,3.93,4.0,3.58,3.74,504020.0
2020-03-02,3.75,3.9,3.7,3.86,237714.0,0.0,1.0,3.75,3.9,3.7,3.86,237714.0
2020-03-03,3.89,4.165,3.8291,4.08,200203.0,0.0,1.0,3.89,4.165,3.8291,4.08,200203.0
2020-03-04,4.0,4.2,3.9702,4.14,136950.0,0.0,1.0,4.0,4.2,3.9702,4.14,136950.0
2020-03-05,4.1,4.12,3.9,3.95,291755.0,0.0,1.0,4.1,4.12,3.9,3.95,291755.0
2020-03-06,3.82,3.9182,3.72,3.72,112005.0,0.0,1.0,3.82,3.9182,3.72,3.72,112005.0
2020-03-09,3.6,3.6,3.0,3.14,340623.0,0.0,1.0,3.6,3.6,3.0,3.14,340623.0
2020-03-10,3.25,3.4,2.96,3.01,261203.0,0.0,1.0,3.25,3.4,2.96,3.01,261203.0
2020-03-11,2.96,3.0,2.53,2.6,215051.0,0.0,1.0,2.96,3.0,2.53,2.6,215051.0
2020-03-12,2.37,2.49,2.1,2.13,693223.0,0.0,1.0,2.37,2.49,2.1,2.13,693223.0
2020-03-13,2.3,2.35,1.97,2.01,516984.0,0.0,1.0,2.3,2.35,1.97,2.01,516984.0
2020-03-16,1.81,1.85,1.36,1.47,495155.0,0.0,1.0,1.81,1.85,1.36,1.47,495155.0
2020-03-17,1.54,2.0,1.54,1.82,472774.0,0.0,1.0,1.54,2.0,1.54,1.82,472774.0
2020-03-18,1.8,1.9582,1.6,1.62,787114.0,0.0,1.0,1.8,1.9582,1.6,1.62,787114.0
2020-03-19,1.61,1.8921,1.425,1.44,506724.0,0.0,1.0,1.61,1.8921,1.425,1.44,506724.0
2020-03-20,1.6,1.74,1.6,1.61,256119.0,0.0,1.0,1.6,1.74,1.6,1.61,256119.0
2020-03-23,1.69,1.71,1.53,1.56,169301.0,0.0,1.0,1.69,1.71,1.53,1.56,169301.0
2020-03-24,1.67,1.74,1.67,1.68,139254.0,0.0,1.0,1.67,1.74,1.67,1.68,139254.0
2020-03-25,1.8,2.0,1.62,1.98,625330.0,0.0,1.0,1.8,2.0,1.62,1.98,625330.0
2020-03-26,2.98,3.0,2.28,2.8,2170200.0,0.0,1.0,2.98,3.0,2.28,2.8,2170200.0
2020-03-27,2.79,2.79,2.46,2.53,321122.0,0.0,1.0,2.79,2.79,2.46,2.53,321122.0
2020-03-30,2.44,2.51,2.07,2.35,245062.0,0.0,1.0,2.44,2.51,2.07,2.35,245062.0
2020-03-31,2.3,2.39,2.3,2.32,92601.0,0.0,1.0,2.3,2.39,2.3,2.32,92601.0
2020-04-01,2.3,2.31,2.1,2.14,92893.0,0.0,1.0,2.3,2.31,2.1,2.14,92893.0
2020-04-02,2.11,2.3,2.1,2.25,115916.0,0.0,1.0,2.11,2.3,2.1,2.25,115916.0
2020-04-03,2.17,2.26,1.91,2.21,298164.0,0.0,1.0,2.17,2.26,1.91,2.21,298164.0
2020-04-06,2.15,2.35,2.15,2.29,86788.0,0.0,1.0,2.15,2.35,2.15,2.29,86788.0
2020-04-07,2.39,2.5,2.27,2.4,88512.0,0.0,1.0,2.39,2.5,2.27,2.4,88512.0
2020-04-08,2.4,2.42,2.2501,2.42,42914.0,0.0,1.0,2.4,2.42,2.2501,2.42,42914.0
2020-04-09,2.43,2.53,2.41,2.49,121109.0,0.0,1.0,2.43,2.53,2.41,2.49,121109.0
2020-04-13,2.53,2.53,2.31,2.38,42742.0,0.0,1.0,2.53,2.53,2.31,2.38,42742.0
2020-04-14,2.41,2.53,2.28,2.32,51448.0,0.0,1.0,2.41,2.53,2.28,2.32,51448.0
2020-04-15,2.33,2.4,2.22,2.4,29828.0,0.0,1.0,2.33,2.4,2.22,2.4,29828.0
2020-04-16,2.39,2.41,2.29,2.33,23549.0,0.0,1.0,2.39,2.41,2.29,2.33,23549.0
2020-04-17,2.42,2.42,2.22,2.27,68195.0,0.0,1.0,2.42,2.42,2.22,2.27,68195.0
2020-04-20,2.31,2.31,2.2,2.25,32062.0,0.0,1.0,2.31,2.31,2.2,2.25,32062.0
2020-04-21,2.2,2.25,2.14,2.22,87315.0,0.0,1.0,2.2,2.25,2.14,2.22,87315.0
2020-04-22,2.22,2.22,2.13,2.21,61163.0,0.0,1.0,2.22,2.22,2.13,2.21,61163.0
2020-04-23,2.19,2.28,2.1296,2.18,62156.0,0.0,1.0,2.19,2.28,2.1296,2.18,62156.0
2020-04-24,2.23,2.24,2.111,2.24,75425.0,0.0,1.0,2.23,2.24,2.111,2.24,75425.0
2020-04-27,2.23,2.25,2.12,2.16,99681.0,0.0,1.0,2.23,2.25,2.12,2.16,99681.0
2020-04-28,2.21,2.29,2.19,2.28,140988.0,0.0,1.0,2.21,2.29,2.19,2.28,140988.0
2020-04-29,2.37,2.5154,2.3019,2.38,312927.0,0.0,1.0,2.37,2.5154,2.3019,2.38,312927.0
2020-04-30,2.45,2.52,2.19,2.45,244788.0,0.0,1.0,2.45,2.52,2.19,2.45,244788.0
2020-05-01,2.33,2.3724,2.08,2.2,148671.0,0.0,1.0,2.33,2.3724,2.08,2.2,148671.0
2020-05-04,2.18,2.32,2.1,2.24,31557.0,0.0,1.0,2.18,2.32,2.1,2.24,31557.0
2020-05-05,2.21,2.34,2.21,2.3,27141.0,0.0,1.0,2.21,2.34,2.21,2.3,27141.0
2020-05-06,2.26,2.38,2.26,2.35,37575.0,0.0,1.0,2.26,2.38,2.26,2.35,37575.0
2020-05-07,2.36,2.52,2.35,2.41,215771.0,0.0,1.0,2.36,2.52,2.35,2.41,215771.0
2020-05-08,2.47,2.64,2.47,2.64,160066.0,0.0,1.0,2.47,2.64,2.47,2.64,160066.0
2020-05-11,2.63,2.65,2.53,2.625,108976.0,0.0,1.0,2.63,2.65,2.53,2.625,108976.0
2020-05-12,2.63,2.9,2.63,2.66,155782.0,0.0,1.0,2.63,2.9,2.63,2.66,155782.0
