Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,1.28,1.39,1.27,1.37,412622.0,0.0,1.0,1.28,1.39,1.27,1.37,412622.0
2020-01-03,1.47,1.47,1.31,1.33,396235.0,0.0,1.0,1.47,1.47,1.31,1.33,396235.0
2020-01-06,1.34,1.383,1.33,1.36,192999.0,0.0,1.0,1.34,1.383,1.33,1.36,192999.0
2020-01-07,1.41,1.42,1.35,1.38,168680.0,0.0,1.0,1.41,1.42,1.35,1.38,168680.0
2020-01-08,1.37,1.38,1.28,1.3,252180.0,0.0,1.0,1.37,1.38,1.28,1.3,252180.0
2020-01-09,1.31,1.34,1.28,1.32,173148.0,0.0,1.0,1.31,1.34,1.28,1.32,173148.0
2020-01-10,1.32,1.32,1.3,1.32,143107.0,0.0,1.0,1.32,1.32,1.3,1.32,143107.0
2020-01-13,1.33,1.45,1.3,1.42,797685.0,0.0,1.0,1.33,1.45,1.3,1.42,797685.0
2020-01-14,1.45,1.73,1.4,1.64,1193400.0,0.0,1.0,1.45,1.73,1.4,1.64,1193400.0
2020-01-15,1.65,1.75,1.51,1.67,1155237.0,0.0,1.0,1.65,1.75,1.51,1.67,1155237.0
2020-01-16,1.7,1.7399,1.6,1.67,374963.0,0.0,1.0,1.7,1.7399,1.6,1.67,374963.0
2020-01-17,1.67,1.67,1.55,1.58,355539.0,0.0,1.0,1.67,1.67,1.55,1.58,355539.0
2020-01-21,1.58,1.66,1.56,1.61,237420.0,0.0,1.0,1.58,1.66,1.56,1.61,237420.0
2020-01-22,1.6,1.61,1.49,1.51,255837.0,0.0,1.0,1.6,1.61,1.49,1.51,255837.0
2020-01-23,1.51,1.53,1.46,1.5,194391.0,0.0,1.0,1.51,1.53,1.46,1.5,194391.0
2020-01-24,1.52,1.52,1.45,1.45,228173.0,0.0,1.0,1.52,1.52,1.45,1.45,228173.0
2020-01-27,1.45,1.45,1.31,1.35,352638.0,0.0,1.0,1.45,1.45,1.31,1.35,352638.0
2020-01-28,1.37,1.51,1.37,1.51,267061.0,0.0,1.0,1.37,1.51,1.37,1.51,267061.0
2020-01-29,1.52,1.52,1.42,1.47,231890.0,0.0,1.0,1.52,1.52,1.42,1.47,231890.0
2020-01-30,1.47,1.48,1.42,1.43,135234.0,0.0,1.0,1.47,1.48,1.42,1.43,135234.0
2020-01-31,1.42,1.44,1.39,1.4,171972.0,0.0,1.0,1.42,1.44,1.39,1.4,171972.0
2020-02-03,1.4,1.51,1.4,1.42,205095.0,0.0,1.0,1.4,1.51,1.4,1.42,205095.0
2020-02-04,1.44,1.51,1.44,1.48,150667.0,0.0,1.0,1.44,1.51,1.44,1.48,150667.0
2020-02-05,1.48,1.504,1.41,1.43,270688.0,0.0,1.0,1.48,1.504,1.41,1.43,270688.0
2020-02-06,1.44,1.464,1.4,1.44,107682.0,0.0,1.0,1.44,1.464,1.4,1.44,107682.0
2020-02-07,1.45,1.5,1.41,1.48,305933.0,0.0,1.0,1.45,1.5,1.41,1.48,305933.0
2020-02-10,1.53,1.54,1.48,1.48,496665.0,0.0,1.0,1.53,1.54,1.48,1.48,496665.0
2020-02-11,1.32,1.38,0.9222,1.0,3784024.0,0.0,1.0,1.32,1.38,0.9222,1.0,3784024.0
2020-02-12,1.04,1.12,1.02,1.12,1108083.0,0.0,1.0,1.04,1.12,1.02,1.12,1108083.0
2020-02-13,1.12,1.14,1.04,1.06,757690.0,0.0,1.0,1.12,1.14,1.04,1.06,757690.0
2020-02-14,1.1,1.1,1.02,1.04,406926.0,0.0,1.0,1.1,1.1,1.02,1.04,406926.0
2020-02-18,1.06,1.07,1.0,1.03,369483.0,0.0,1.0,1.06,1.07,1.0,1.03,369483.0
2020-02-19,1.04,1.05,1.0,1.03,530605.0,0.0,1.0,1.04,1.05,1.0,1.03,530605.0
2020-02-20,1.02,1.03,0.95,0.994,580031.0,0.0,1.0,1.02,1.03,0.95,0.994,580031.0
2020-02-21,1.0,1.01,0.98,0.9849,312482.0,0.0,1.0,1.0,1.01,0.98,0.9849,312482.0
2020-02-24,0.9615,0.97,0.92,0.9441,580344.0,0.0,1.0,0.9615,0.97,0.92,0.9441,580344.0
2020-02-25,0.9201,0.97,0.7905,0.8634,752526.0,0.0,1.0,0.9201,0.97,0.7905,0.8634,752526.0
2020-02-26,0.92,0.94,0.855,0.899,401832.0,0.0,1.0,0.92,0.94,0.855,0.899,401832.0
2020-02-27,0.83,0.89,0.7534,0.82,778390.0,0.0,1.0,0.83,0.89,0.7534,0.82,778390.0
2020-02-28,0.76,0.9295,0.76,0.91,523726.0,0.0,1.0,0.76,0.9295,0.76,0.91,523726.0
