Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,7.0085,7.0085,7.0085,7.0085,333.0,0.0,1.0,7.0085,7.0085,7.0085,7.0085,333.0
2020-01-03,6.9856,7.0,6.95,6.96,4384.0,0.0,1.0,6.9856,7.0,6.95,6.96,4384.0
2020-01-06,6.96,7.0,6.9487,7.0,6505.0,0.0,1.0,6.96,7.0,6.9487,7.0,6505.0
2020-01-07,7.0,7.0,6.95,6.973,12345.0,0.0,1.0,7.0,7.0,6.95,6.973,12345.0
2020-01-08,6.95,7.0,6.95,6.9893,3723.0,0.0,1.0,6.95,7.0,6.95,6.9893,3723.0
2020-01-09,6.9647,6.9864,6.9647,6.9864,382.0,0.0,1.0,6.9647,6.9864,6.9647,6.9864,382.0
2020-01-10,6.9819,7.0,6.9811,6.9998,1713.0,0.0,1.0,6.9819,7.0,6.9811,6.9998,1713.0
2020-01-13,6.91,6.9802,6.91,6.9802,1456.0,0.0,1.0,6.91,6.9802,6.91,6.9802,1456.0
2020-01-14,6.99,6.99,6.95,6.9548,2162.0,0.0,1.0,6.99,6.99,6.95,6.9548,2162.0
2020-01-15,6.95,6.99,6.9,6.99,3277.0,0.0,1.0,6.95,6.99,6.9,6.99,3277.0
2020-01-16,6.944,6.97,6.944,6.97,2971.0,0.0,1.0,6.944,6.97,6.944,6.97,2971.0
2020-01-17,6.9174,6.98,6.9174,6.9531,2995.0,0.0,1.0,6.9174,6.98,6.9174,6.9531,2995.0
2020-01-21,6.94,6.95,6.94,6.95,3351.0,0.0,1.0,6.94,6.95,6.94,6.95,3351.0
2020-01-22,6.7931,6.855,6.72,6.8371,2519.0,0.0,1.0,6.7931,6.855,6.72,6.8371,2519.0
2020-01-23,6.86,6.92,6.8169,6.875,1473.0,0.0,1.0,6.86,6.92,6.8169,6.875,1473.0
2020-01-24,6.75,6.92,6.75,6.8238,5422.0,0.0,1.0,6.75,6.92,6.75,6.8238,5422.0
2020-01-27,6.898,6.93,6.82,6.84,3449.0,0.0,1.0,6.898,6.93,6.82,6.84,3449.0
2020-01-28,6.854,6.8845,6.81,6.8674,4421.0,0.0,1.0,6.854,6.8845,6.81,6.8674,4421.0
2020-01-29,6.8302,6.9138,6.82,6.9038,1851.0,0.0,1.0,6.8302,6.9138,6.82,6.9038,1851.0
2020-01-30,6.8312,6.8312,6.8312,6.8312,487.0,0.0,1.0,6.8312,6.8312,6.8312,6.8312,487.0
2020-01-31,6.8,6.88,6.8,6.8461,1926.0,0.0,1.0,6.8,6.88,6.8,6.8461,1926.0
2020-02-03,6.82,6.82,6.7521,6.76,1335.0,0.0,1.0,6.82,6.82,6.7521,6.76,1335.0
2020-02-04,6.76,6.79,6.7525,6.79,2475.0,0.0,1.0,6.76,6.79,6.7525,6.79,2475.0
2020-02-05,6.7893,6.81,6.7521,6.81,1766.0,0.0,1.0,6.7893,6.81,6.7521,6.81,1766.0
2020-02-06,6.7681,6.81,6.7681,6.81,833.0,0.0,1.0,6.7681,6.81,6.7681,6.81,833.0
2020-02-07,6.82,6.8896,6.82,6.8896,908.0,0.0,1.0,6.82,6.8896,6.82,6.8896,908.0
2020-02-10,6.9,6.9,6.77,6.8696,1241.0,0.0,1.0,6.9,6.9,6.77,6.8696,1241.0
2020-02-11,6.8472,6.9,6.8472,6.8999,6463.0,0.0,1.0,6.8472,6.9,6.8472,6.8999,6463.0
2020-02-12,6.8696,6.8701,6.81,6.8118,1291.0,0.0,1.0,6.8696,6.8701,6.81,6.8118,1291.0
2020-02-13,6.82,6.8345,6.786,6.81,895.0,0.0,1.0,6.82,6.8345,6.786,6.81,895.0
2020-02-14,6.87,6.87,6.8244,6.85,640.0,0.0,1.0,6.87,6.87,6.8244,6.85,640.0
2020-02-18,6.78,6.84,6.72,6.84,1450.0,0.0,1.0,6.78,6.84,6.72,6.84,1450.0
2020-02-19,6.75,6.9,6.75,6.9,1499.0,0.0,1.0,6.75,6.9,6.75,6.9,1499.0
2020-02-20,6.72,6.9,6.72,6.72,3062.0,0.0,1.0,6.72,6.9,6.72,6.72,3062.0
2020-02-21,6.795,6.86,6.6905,6.86,2127.0,0.0,1.0,6.795,6.86,6.6905,6.86,2127.0
2020-02-24,6.76,6.77,6.75,6.77,623.0,0.0,1.0,6.76,6.77,6.75,6.77,623.0
2020-02-25,6.7,6.8433,6.65,6.71,40417.0,0.0,1.0,6.7,6.8433,6.65,6.71,40417.0
2020-02-26,6.7205,6.7205,6.6,6.62,4307.0,0.0,1.0,6.7205,6.7205,6.6,6.62,4307.0
2020-02-27,6.6025,6.6025,6.53,6.53,2592.0,0.0,1.0,6.6025,6.6025,6.53,6.53,2592.0
2020-02-28,6.6349,6.753,6.5,6.5,3049.0,0.0,1.0,6.6349,6.753,6.5,6.5,3049.0
2020-03-02,6.55,6.55,6.25,6.27,15129.0,0.0,1.0,6.55,6.55,6.25,6.27,15129.0
2020-03-03,6.25,6.2924,6.1,6.115,8623.0,0.0,1.0,6.25,6.2924,6.1,6.115,8623.0
2020-03-04,6.13,6.13,5.67,5.99,16100.0,0.0,1.0,6.13,6.13,5.67,5.99,16100.0
2020-03-05,6.3,6.31,5.995,6.02,3434.0,0.0,1.0,6.3,6.31,5.995,6.02,3434.0
2020-03-06,6.0166,6.0166,5.94,5.94,3348.0,0.0,1.0,6.0166,6.0166,5.94,5.94,3348.0
2020-03-09,6.05,6.05,5.79,5.835,1970.0,0.0,1.0,6.05,6.05,5.79,5.835,1970.0
2020-03-10,5.9297,6.0085,5.78,5.81,2379.0,0.0,1.0,5.9297,6.0085,5.78,5.81,2379.0
2020-03-11,5.8,5.935,5.6,5.6,23976.0,0.0,1.0,5.8,5.935,5.6,5.6,23976.0
2020-03-12,5.55,6.05,5.1,5.1,25348.0,0.0,1.0,5.55,6.05,5.1,5.1,25348.0
2020-03-13,5.2,5.9895,5.1,5.5777,5458.0,0.0,1.0,5.2,5.9895,5.1,5.5777,5458.0
2020-03-16,5.4,5.4229,5.0,5.0835,6820.0,0.0,1.0,5.4,5.4229,5.0,5.0835,6820.0
2020-03-17,5.0,5.45,4.585,4.65,16157.0,0.0,1.0,5.0,5.45,4.585,4.65,16157.0
2020-03-18,4.74,5.0852,4.588,4.6431,7924.0,0.0,1.0,4.74,5.0852,4.588,4.6431,7924.0
2020-03-19,4.64,4.64,4.5,4.5111,9301.0,0.0,1.0,4.64,4.64,4.5,4.5111,9301.0
2020-03-20,4.62,4.7233,4.5,4.5,18322.0,0.0,1.0,4.62,4.7233,4.5,4.5,18322.0
2020-03-23,4.67,5.12,4.51,4.56,4929.0,0.0,1.0,4.67,5.12,4.51,4.56,4929.0
2020-03-24,4.72,4.825,4.54,4.57,7324.0,0.0,1.0,4.72,4.825,4.54,4.57,7324.0
