Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-12-11,1.85,2.96,1.85,2.0,41977.0,0.0,1.0,1.85,2.96,1.85,2.0,41977.0
2020-12-14,2.2,2.24,2.03,2.1,150602.0,0.0,1.0,2.2,2.24,2.03,2.1,150602.0
2020-12-15,1.99,2.11,1.8,1.9,79836.0,0.0,1.0,1.99,2.11,1.8,1.9,79836.0
2020-12-16,1.9,2.0,1.71,1.9,59610.0,0.0,1.0,1.9,2.0,1.71,1.9,59610.0
2020-12-17,1.8,2.35,1.8,2.17,35038.0,0.0,1.0,1.8,2.35,1.8,2.17,35038.0
2020-12-18,1.95,2.1,1.9,2.05,62461.0,0.0,1.0,1.95,2.1,1.9,2.05,62461.0
2020-12-21,2.1,2.3,1.95,2.07,62826.0,0.0,1.0,2.1,2.3,1.95,2.07,62826.0
2020-12-22,2.5,2.7,2.06,2.08,317780.0,0.0,1.0,2.5,2.7,2.06,2.08,317780.0
2020-12-23,2.11,2.44,2.11,2.33,100348.0,0.0,1.0,2.11,2.44,2.11,2.33,100348.0
2020-12-24,2.4,2.49,2.3,2.3325,98395.0,0.0,1.0,2.4,2.49,2.3,2.3325,98395.0
2020-12-28,2.35,2.9,2.12,2.26,260177.0,0.0,1.0,2.35,2.9,2.12,2.26,260177.0
2020-12-29,2.4,2.5,2.07,2.2,276000.0,0.0,1.0,2.4,2.5,2.07,2.2,276000.0
2020-12-30,2.25,2.3,2.09,2.2,160764.0,0.0,1.0,2.25,2.3,2.09,2.2,160764.0
2020-12-31,2.2,2.5,2.1,2.15,155863.0,0.0,1.0,2.2,2.5,2.1,2.15,155863.0
