Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,1.53,1.59,1.53,1.53,510.0,0.0,1.0,1.53,1.59,1.53,1.53,510.0
2020-01-03,1.51,1.51,1.51,1.51,539.0,0.0,1.0,1.51,1.51,1.51,1.51,539.0
2020-01-06,1.48,1.6,1.48,1.55,21208.0,0.0,1.0,1.48,1.6,1.48,1.55,21208.0
2020-01-07,1.51,1.5796,1.51,1.573,5011.0,0.0,1.0,1.51,1.5796,1.51,1.573,5011.0
2020-01-08,1.56,1.57,1.56,1.57,3365.0,0.0,1.0,1.56,1.57,1.56,1.57,3365.0
2020-01-09,1.51,1.57,1.51,1.57,3973.0,0.0,1.0,1.51,1.57,1.51,1.57,3973.0
2020-01-10,1.51,1.6492,1.51,1.6,30802.0,0.0,1.0,1.51,1.6492,1.51,1.6,30802.0
2020-01-13,1.59,1.65,1.59,1.6,43176.0,0.0,1.0,1.59,1.65,1.59,1.6,43176.0
2020-01-14,1.57,1.6169,1.56,1.59,30774.0,0.0,1.0,1.57,1.6169,1.56,1.59,30774.0
2020-01-15,1.57,1.5701,1.57,1.57,4794.0,0.0,1.0,1.57,1.5701,1.57,1.57,4794.0
2020-01-16,1.55,1.6,1.55,1.56,6723.0,0.0,1.0,1.55,1.6,1.55,1.56,6723.0
2020-01-17,1.53,1.58,1.53,1.57,14608.0,0.0,1.0,1.53,1.58,1.53,1.57,14608.0
2020-01-21,1.54,1.68,1.52,1.52,9359.0,0.0,1.0,1.54,1.68,1.52,1.52,9359.0
2020-01-22,1.65,1.65,1.63,1.63,891.0,0.0,1.0,1.65,1.65,1.63,1.63,891.0
2020-01-23,1.62,1.62,1.62,1.62,391.0,0.0,1.0,1.62,1.62,1.62,1.62,391.0
2020-01-24,1.63,1.66,1.62,1.6431,907.0,0.0,1.0,1.63,1.66,1.62,1.6431,907.0
2020-01-27,1.55,1.66,1.534,1.63,6844.0,0.0,1.0,1.55,1.66,1.534,1.63,6844.0
2020-01-28,1.6567,1.7,1.65,1.6817,8323.0,0.0,1.0,1.6567,1.7,1.65,1.6817,8323.0
