Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,6.84,6.93,6.78,6.84,176345.0,0.0,1.0,6.84,6.93,6.78,6.84,176345.0
2020-01-03,6.75,6.87,6.75,6.835,220804.0,0.0,1.0,6.75,6.87,6.75,6.835,220804.0
2020-01-06,6.91,7.4,6.77,7.32,758422.0,0.0,1.0,6.91,7.4,6.77,7.32,758422.0
2020-01-07,7.35,7.54,7.21,7.385,680475.0,0.0,1.0,7.35,7.54,7.21,7.385,680475.0
2020-01-08,7.41,7.72,7.38,7.51,598729.0,0.0,1.0,7.41,7.72,7.38,7.51,598729.0
2020-01-09,7.58,7.76,7.53,7.725,820110.0,0.0,1.0,7.58,7.76,7.53,7.725,820110.0
2020-01-10,7.76,7.85,7.68,7.72,464020.0,0.0,1.0,7.76,7.85,7.68,7.72,464020.0
2020-01-13,7.73,7.955,7.7,7.85,525162.0,0.0,1.0,7.73,7.955,7.7,7.85,525162.0
2020-01-14,7.81,7.93,7.7414,7.89,645046.0,0.0,1.0,7.81,7.93,7.7414,7.89,645046.0
2020-01-15,7.9,8.05,7.685,7.76,550947.0,0.0,1.0,7.9,8.05,7.685,7.76,550947.0
2020-01-16,7.84,8.12,7.84,8.04,913324.0,0.0,1.0,7.84,8.12,7.84,8.04,913324.0
2020-01-17,8.11,8.1116,7.66,7.805,771823.0,0.0,1.0,8.11,8.1116,7.66,7.805,771823.0
2020-01-21,7.79,7.82,7.66,7.67,620004.0,0.0,1.0,7.79,7.82,7.66,7.67,620004.0
2020-01-22,7.69,7.73,7.22,7.24,510361.0,0.0,1.0,7.69,7.73,7.22,7.24,510361.0
2020-01-23,7.16,7.34,6.93,7.25,465405.0,0.0,1.0,7.16,7.34,6.93,7.25,465405.0
2020-01-24,7.26,7.29,7.0,7.06,485538.0,0.0,1.0,7.26,7.29,7.0,7.06,485538.0
2020-01-27,6.84,6.94,6.65,6.75,828388.0,0.0,1.0,6.84,6.94,6.65,6.75,828388.0
2020-01-28,6.76,6.89,6.7366,6.86,319480.0,0.0,1.0,6.76,6.89,6.7366,6.86,319480.0
2020-01-29,6.89,6.97,6.85,6.87,635196.0,0.0,1.0,6.89,6.97,6.85,6.87,635196.0
2020-01-30,6.84,6.969,6.84,6.935,402058.0,0.0,1.0,6.84,6.969,6.84,6.935,402058.0
2020-01-31,6.95,7.02,6.71,6.75,567995.0,0.0,1.0,6.95,7.02,6.71,6.75,567995.0
2020-02-03,6.81,6.91,6.74,6.91,451106.0,0.0,1.0,6.81,6.91,6.74,6.91,451106.0
2020-02-04,7.03,7.17,6.9552,7.07,327679.0,0.0,1.0,7.03,7.17,6.9552,7.07,327679.0
2020-02-05,7.15,7.25,7.0,7.24,415064.0,0.0,1.0,7.15,7.25,7.0,7.24,415064.0
2020-02-06,7.25,7.46,7.21,7.42,388352.0,0.0,1.0,7.25,7.46,7.21,7.42,388352.0
2020-02-07,7.36,7.43,7.26,7.32,588500.0,0.0,1.0,7.36,7.43,7.26,7.32,588500.0
2020-02-10,7.31,7.63,7.18,7.61,316079.0,0.0,1.0,7.31,7.63,7.18,7.61,316079.0
2020-02-11,7.64,7.85,7.32,7.35,491706.0,0.0,1.0,7.64,7.85,7.32,7.35,491706.0
2020-02-12,7.38,7.4,7.11,7.29,358612.0,0.0,1.0,7.38,7.4,7.11,7.29,358612.0
2020-02-13,7.23,7.31,7.15,7.16,314453.0,0.0,1.0,7.23,7.31,7.15,7.16,314453.0
2020-02-14,7.13,7.26,7.11,7.2,282091.0,0.0,1.0,7.13,7.26,7.11,7.2,282091.0
2020-02-18,7.2,7.365,7.13,7.34,329348.0,0.0,1.0,7.2,7.365,7.13,7.34,329348.0
2020-02-19,7.36,7.765,7.34,7.74,537260.0,0.0,1.0,7.36,7.765,7.34,7.74,537260.0
2020-02-20,7.74,8.08,7.655,7.99,627511.0,0.0,1.0,7.74,8.08,7.655,7.99,627511.0
2020-02-21,8.74,9.29,8.39,8.92,2403985.0,0.0,1.0,8.74,9.29,8.39,8.92,2403985.0
2020-02-24,8.52,9.24,8.5,9.045,1315617.0,0.0,1.0,8.52,9.24,8.5,9.045,1315617.0
2020-02-25,9.05,9.13,8.665,8.755,917397.0,0.0,1.0,9.05,9.13,8.665,8.755,917397.0
2020-02-26,8.79,9.2,8.63,8.725,1254340.0,0.0,1.0,8.79,9.2,8.63,8.725,1254340.0
2020-02-27,8.43,8.51,8.0,8.0,1164979.0,0.0,1.0,8.43,8.51,8.0,8.0,1164979.0
2020-02-28,7.46,7.99,7.38,7.88,879678.0,0.0,1.0,7.46,7.99,7.38,7.88,879678.0
2020-03-02,7.89,8.26,7.73,8.15,569693.0,0.0,1.0,7.89,8.26,7.73,8.15,569693.0
2020-03-03,8.18,8.42,7.83,7.89,484630.0,0.0,1.0,8.18,8.42,7.83,7.89,484630.0
